&| ˈʌ w
provinsby|p ʁ ʔo ʋ ˈʔe n s b ʔy
provinsen|p ʁ ʔo ʋ ˈʔe n s ə n
provinsluksus|p ʁ ʔo ʋ ˈʔe n s l ɒ k s ˌʔu s
provinsstyret|p ʁ ʔo ʋ ˈʔe n s t y ɐ̯ ˌʔʌ ð
provisionslønnede|p ʁ ˌʔo ʋ ʔi ʃ ˈʔo n s l ʔœ n ə ð ə
provokation|p ʁ ˌʔo ʋ ʔo k a ʃ ˈʔo n
provokere|p ʁ ˌʔo ʋ ʔo k ˈʔe ʔʌ
provokerede|p ʁ ˌʔo ʋ ʔo k ˈʔe ɐ̯ ʔʌ ð ə
provokerende|p ʁ ˌʔo ʋ ʔo k ˈʔe ɐ̯ ə n ə
provokeret|p ʁ ˌʔo ʋ ʔo k ˈʔe ʌ ð
provst|p ʁ ˈɔ w s t
provstegårdskolen|p ʁ ˈɔ w s t ə ɡ ɒɒ s k ˌo l ə n
provsten|p ʁ ˈɔ w s d ə n
provstevej|p ʁ ˈɔ w s t ʔe ʋ ˌ?ɑ j
provsti|p ʁ ɔ w s t ˈʔi
provstiet|p ʁ ɔ w s t ˈʔi ə ð
proximus|p ɐ̯ ˈʔʌ ɡ s ʔi m ˌʔu s
proxy|p ɐ̯ ˈʔʌ ɡ s ʔy
prtifælle|p ɐ̯ t ˈʔi f ε l ə 
prudes|p ʁ ˈu ð ə  s
prudhomme|p ʁ ˈʔu ð h ʔʌ m ə 
prust|p ʁ ˈu s t
prustende|p ʁ ˈu s t ə n ə
pryde|p ʁ ˈy ð ə 
prydede|p ʁ ˈy ð ə ð ə 
pryder|p ʁ ˈy ð ʔʌ 
prydes|p ʁ ˈy ð ə  s
prydet|p ʁ ˈy ð ə ð
pryds|p ʁ ˈʔy s
prygelknabe|p ʁ ˈy ɡ ε l k n ˌɑ b ə
prygle|p ʁ ˈy l ə
pryglede|p ʁ ˈy l ə ð ə
pryts|p ʁ ˈʔy t s
præcedens|p ʁ ˈε s ʔe ð ə n s
præcise|p ʁ ε s ˈʔi s ə
præcisere|p ʁ ε s ˌʔi s ˈʔe ʔʌ
præciserede|p ʁ ε s ˌʔi s ˈʔe ɐ̯ ʔʌ ð ə
præciserer|p ʁ ε s ˌʔi s ˈʔe ʔʌ 
præciseret|p ʁ ε s ˌʔi s ˈʔe ʌ ð
præcisering|p ʁ ε s ˌʔi s ˈʔe ɐ̯ ʔe ŋ
præcision|p ʁ ε s ˈʔi ʃ ˈʔo n
præcisionen|p ʁ ε s ˈʔi ʃ ˈʔo n ə n
præcisionsarbejde|p ʁ ε s ˈʔi ʃ ˈʔo n s ɑ b ˌ?ɑ j d ə 
præcist|p ʁ ε s ˈʔi s t
prædikanter|p ʁ ˌε d i k ˈa n t ʔʌ 
prædikatet|p ʁ ɛ ð k ˈa d ə ð
prædiken|p ʁ ˈɛ ð k ə n
prædikener|p ʁ ˈɛ ð k e n ˌʔʌ 
prædiker|p ʁ ˈɛ ð k ʔʌ
prædikestolen|p ʁ ˈɛ ð k ε s t ˌo l ə n
prædiket|p ʁ ˈɛ ð k ə ð
præferencer|p ʁ ˌε f e ʁ ˈ?ɑ ŋ s ʔʌ ɐ̯
præg|p ʁ ˈε j
præge|p ʁ ˈε j ə 
prægede|p ʁ ˈε j ə ð ə
præger|p ʁ ˈε j ʔʌ
præges|p ʁ ˈε j ə  s
præget|p ʁ ˈε j ə ð
prægtige|p ʁ ˈε ɡ t ˌʔi ə
prægtigere|p ʁ ˈε ɡ t i ˌʌ ʔʌ
prægtigt|p ʁ ˈε ɡ t ʔi t
præhistorisk|p ʁ ˈε h ʔi s t ˌʔo ɐ̯ ʔe s k
præhospitalet|p ʁ ˈε h ʔo s p ˌʔi t a l ə ð
præhospitalt|p ʁ ˈε h ʔo s p ˌʔi t a l t
præist|p ʁ ˈ?a ʔi s t
prækvalificeret|p ʁ ˈε k ʋ a l ˌʔi f i s ˌʔʌ ɐ̯ ʔʌ ð
prækvalificerings|p ʁ ˈε k ʋ a l ˌʔi f i s ˌʔe ɐ̯ ʔe ŋ s
prækvalifikation|p ʁ ˈε k ʋ a l ˌʔi f ʔi k ˌa ʃ ʔo n
prækvalifikationen|p ʁ ˈε k ʋ a l ˌʔi f ʔi k ˌa ʃ o n ə n
præmie|p ʁ ˈε m j ə 
præmien|p ʁ ˈε m ʔi ə n
præmiepenge|p ʁ ˈε m ʔi ˌe p ε ŋ ə 
præmier|p ʁ ˈε m j ʔʌ
præmiere|p ʁ ˌε m ʔi ˈʔe ʌ
præmieren|p ʁ ˌε m ʔi ˈε ʌ n
præmieres|p ʁ ˌε m ʔi ˈʔe ʌ s
præmieret|p ʁ ˌε m ʔi ˈʔe ʌ t
præmiering|p ʁ ˌε m ʔi ˈʔe ɐ̯ ʔe ŋ
præmiestuderende|p ʁ ˌε m ʔi ˌʔe s t u ð ˈʔe ɐ̯ ə n ə
præmievåbenstævne|p ʁ ˈε m ʔi ˌʔe ʋ ɔ b ə n s t ˌε w n ə 
præmis|p ʁ ˈε m ʔi s
præmissen|p ʁ ˈε m ʔi s ə n
præmisser|p ʁ ˈε m ʔi s ˌʔʌ 
præolympiske|p ʁ ˈ?a ʔo l ˌʔœ m p ʔi s k ə 
præparat|p ʁ ˌε p ɑ ʁ ˈ?ɑ t
præparater|p ʁ ˌε p ɑ ʁ ˈ?ɑ t ʔʌ 
præparatet|p ʁ ˌε p ɑ ʁ ˈ?ɑ t ə ð
prærie|p ʁ ˈε ɐ̯ j ə
præsentation|p ʁ ˌε s ə n t a ʃ ˈʔo n
præsentationen|p ʁ ˌε s ə n t a ʃ ˈʔo n ə n
præsentere|p ʁ ε s ˌε n t ˈʔe ʔʌ
præsenterede|p ʁ ε s ˌε n t ˈʔe ɐ̯ ʔʌ ð ə
præsenterer|p ʁ ε s ˌε n t ˈʔe ʔʌ 
præsenteres|p ʁ ε s ˌε n t ˈʔe ɐ̯ ʔʌ s
præsenteret|p ʁ ε s ˌε n t ˈʔe ʌ ð
præsident|p ʁ ˌε s i d ˈε n t
præsidentbolig|p ʁ ˌε s i d ˈε n t b o l ˌʔi
præsidentdebat|p ʁ ˌε s i d ˈε n t d e b ˌa t
præsidentembedet|p ʁ ˌε s i d ˈε n t ε m b ˌe ð ə t
præsidenten|p ʁ ˌε s i d ˈε n t ə n
præsidentens|p ʁ ˌε s i d ˈε n t ə n s
præsidenter|p ʁ ˌε s i d ˈε n t ʔʌ
præsidentfamilien|p ʁ ˌε s i d ˈε n t f a m ˌʔi l j ə n
præsidentielt|p ʁ ˌε s i d ˌε n t ʔi ˈε l t
præsidentkandidat|p ʁ ˌε s i d ˈε n t k a n d ʔi d ˈa t
præsidentkandidater|p ʁ ˌε s i d ˈε n t k a n d ʔi d ˈa t ʔʌ 
præsidentkandidaternes|p ʁ ˌε s i d ˈε n t k a n d ʔi d ˈa t ʔʌ n ə s
præsidentkandidats|p ʁ ˌε s i d ˈε n t k a n d ʔi d ˈa t s
præsidentkæden|p ʁ ˌε s i d ˈε n t k ɛ ð ə n
præsidentopgøret|p ʁ ˌε s i d ˈε n t ʔʌ p ɡ ˌœ ʔʌ t
præsidentposten|p ʁ ˌε s i d ˈε n t p ʔʌ s d ə n
præsidenttid|p ʁ ˌε s i d ˈε n t ʔi ð
præsidentvalg|p ʁ ˌε s i d ˈε n t ʋ a l
præsidentvalget|p ʁ ˌε s i d ˈε n t ʋ a l j ə ð
præsidiet|p ʁ ε s ˈʔi ð j ə t
præsidium|p ʁ ε s ˈʔi ð ʔi ˌɒ m
præstation|p ʁ ˌε s t a ʃ ˈʔo n
præstationer|p ʁ ˌε s t a ʃ ˈʔo n ʔʌ
præstationerne|p ʁ ˌε s t a ʃ ˈʔo n ʔʌ n ə
præstationsangst|p ʁ ˌε s t a ʃ ˈʔo n s ?ɑ ŋ s t
præstationssamfundet|p ʁ ˌε s t a ʃ ˈʔo n s ?ɑ m f ˌɒ n ə ð
præstbro|p ʁ ˈε s t b ɐ̯ ʔo
præsteboligen|p ʁ ˌε s t ə b o l ʔi ɡ ˈε n
præstegaard|p ʁ ˈε s t ə j a ˌɑ d
præstegerningen|p ʁ ˈε s t ə ɡ ε ɐ̯ n ˌʔe ŋ ə n
præstegård|p ʁ ˈε s t ə ɡ ɒɒ
præstegården|p ʁ ˈε s t ə ɡ ɒɒ ˌʔʌ n
præstekilde|p ʁ ˈε s t ə k ʔi l ə 
præsten|p ʁ ˈ?a s d ə n
præster|p ʁ ˈ?a s t ʔʌ
præstere|p ʁ ε s t ˈʔe ʌ
præsterede|p ʁ ε s t ˈʔe ʌ ð ə 
præsterer|p ʁ ε s t ˈʔe ʌ ɐ̯
præsteret|p ʁ ε s t ˈʔe ʌ t
præsterne|p ʁ ˈ?a s t ʔʌ n ə
præsteskabet|p ʁ ˈε s t ε s k ˌa b ə ð
præstevænget|p ʁ ˈε s t ə ʋ ε ŋ ə ð
præstiin|p ʁ ˈε s t ʔi ˌʔi n
præstø|p ʁ ˈε s t ʔœ
præstøs|p ʁ ˈε s t ʔœ s
prætentioner|p ʁ ˌε t ε n ʃ ˈʔo n ʔʌ
prævention|p ʁ ˌε ʋ ε n ʃ j ˈʔo n
præventionsform|p ʁ ˌε ʋ ε n ʃ j ˈʔo n s f ɒɒ m
præventionsformer|p ʁ ˌε ʋ ε n ʃ j ˈʔo n s f ʌː m ˌʔʌ 
præventiv|p ʁ ˈε ʋ ə n t ʔi w
præventive|p ʁ ˈε ʋ ə n t i ʋ ə 
præventivt|p ʁ ˈε ʋ ə n t ʔi w t
prøv|p ʁ ˈʔœ w
prøve|p ʁ ˈœ ʋ ə 
prøveballon|p ʁ ˈœ ʋ ə b a l ˌʔʌ ŋ
prøvebilledet|p ʁ ˈœ ʋ ə b ʔe l ə ð ə ð
prøvede|p ʁ ˈœ ʋ ə ð ə
prøvekaniner|p ʁ ˈœ ʋ ə k a n ˌi n ʔʌ 
prøvekoncept|p ʁ ˈœ ʋ ə k ʔʌ n s ˌʔe p t
prøvekøre|p ʁ ˈœ ʋ ə k œ ˌʔʌ
prøvekøres|p ʁ ˈœ ʋ ə k œ ˌʔʌ s
prøvekørsler|p ʁ ˈœ ʋ ə k ʔœ ɐ̯ s l ˌʔʌ 
prøvekørte|p ʁ ˈœ ʋ ə k ʔœ ɐ̯ d ə
prøvelser|p ʁ ˈœ ʋ ə l s ʔʌ 
prøvelsesattest|p ʁ ˈœ ʋ ə l s ə s a t ˌɛ s t
prøveløsladelse|p ʁ ˈœ ʋ ə l ʔœ s l ˌa ð ə l s ə 
prøveløsladelser|p ʁ ˈœ ʋ ə l ʔœ s l ˌa ð ə l s ʔʌ 
prøven|p ʁ ˈœ w ə n
prøver|p ʁ ˈœ ʋ ʔʌ
prøverne|p ʁ ˈœ ʋ ʔʌ n ə
prøverum|p ʁ ˈœ ʋ ə ʁ ɒ m
prøverummet|p ʁ ˈœ ʋ ə ʁ ɒ m ə ð
prøves|p ʁ ˈœ ʋ ə  s
prøvesag|p ʁ ˈœ ʋ ə s a j
prøvesager|p ʁ ˈœ ʋ ə s a j ˌʌ
prøvesagkyndige|p ʁ ˈœ ʋ ə s a j k ʔœ n d ˌi ə
prøvesamling|p ʁ ˈœ ʋ ə s ?ɑ m l ˌʔe ŋ
prøvesituationer|p ʁ ˈœ ʋ ə s ʔi t ˌʔu a ʃ ˌo n ʔʌ 
prøveskudt|p ʁ ˈœ ʋ ε s k ˌʔu t
prøvespil|p ʁ ˈœ ʋ ε s p ˌʔe l
prøvespiser|p ʁ ˈœ ʋ ε s p ˌi s ʔʌ
prøvespisning|p ʁ ˈœ ʋ ε s p ˌʔi s n ʔe ŋ
prøvespisningerne|p ʁ ˈœ ʋ ε s p ˌʔi s n ʔe ŋ ˌʔʌ n ə
prøvesvar|p ʁ ˈœ ʋ ə s ʋ ɑ
prøvet|p ʁ ˈœ ʋ ə ð
prøvetimer|p ʁ ˈœ ʋ ə t i m ˌʔʌ 
prøvetur|p ʁ ˈœ ʋ ə t ʔu ɐ̯
prøvningsinstitut|p ʁ ˈʔœ w n ʔe ŋ s ˌʔe n s t ʔi t ˌʔu t
prügelknabe|p ʁ ˈy ɡ ε l k n ˌɑ b ə
pseudonymet|s ˌœ w ð ʔo n ˈʔy m ə ð
psg|p ˌe ˌe s ɡ ˈe
psg's|p ˌe ˌe s ɡ ˈe s
psssssssttt|p ˌe ˌe s ˈe s ˌe s ˌe s ˈe s ˌe s ˌe s t ˈeː t ˌeː t ˈeː
psv|p ˌe ˌe s ʋ ˈe
psykatri|s ˈʔy k a t ʁ ˌʔi
psykedeliske|s ʔy k ə d ˈe l ʔi s ɡ ə 
psykiatere|s ˌʔy k ʔi ˈa t ʔʌ ʔʌ
psykiatri|s ˌʔy k ʔi ˈa t ʁ ˈi
psykiatrien|s ˌʔy k ʔi ˈa t ʁ ˈi ə n
psykiatriens|s ˌʔy k ʔi ˈa t ʁ ˈi ə n s
psykiatrifonden|s ˌʔy k ʔi ˈa t ʁ ˈi f ʔʌ n d ə n
psykiatrifondens|s ˌʔy k ʔi ˈa t ʁ ˈi f ʔʌ n d ə n s
psykiatrihospital|s ˌʔy k ʔi ˈa t ʁ ˈi h ʔo s p ˌʔi t a l
psykiatrihospitalet|s ˌʔy k ʔi ˈa t ʁ ˈi h ʔo s p ˌʔi t a l ə ð
psykiatriordfører|s ˌʔy k ʔi ˈa t ʁ ˈi ʔo ɐ̯ f ˌœ ʔʌ
psykiatripolitikken|s ˌʔy k ʔi ˈa t ʁ ˈi p ʔo l ˌʔi t ʔi k ə n
psykiatrisk|s ˌʔy k ʔi ˈa t ʁ i s k
psykiatriske|s ˌʔy k ʔi ˈa t ʁ i s k ə 
psykiatrisygehuset|s ˌʔy k ʔi ˈa t ʁ ˈi s y ə h ˌʔu s ə ð
psykiske|s ˈʔy k ʔi s ɡ ə
psykoanalysere|s ˌʔy k ʔo ˌa n a l ˌʔy s ˈʔe ʌ
psykolog|s ˌʔy k ʔo l ˈo
psykologen|s ˌʔy k ʔo l ˈo ə n
psykologer|s ˌʔy k ʔo l ˈo ʔʌ
psykologisk|s ˌʔy k ʔo l ˈo ʔi s ɡ
psykologiske|s ˌʔy k ʔo l ˈo ʔi s ɡ ə 
psykosociale|s ˈʔy k ʔo s ˌo s j a l ə 
psykosocialt|s ˈʔy k ʔo s ˌo s j a l t
psykotraumatologi|s ˌʔy k ʔo t ʁ ˌɑ w m a t ˌʔo l ɒ ɡ ˈʔi
pt|p ˌe t ˈeː
pto|p t ˈʔo
ptsd|p ˌe t ˌeː ˌe s d ˈe
pub|p ˈʔʌ b
pubben|p ˈʔʌ b ə n
pubber|p ˈʔʌ b ʔʌ
pubberne|p ˈʔʌ b ʔʌ n ə
public|p ˈʔʌ b l ʔi k
publicere|p ʔʌ b l ˌi s ˈe ʔʌ
publiceres|p ʔʌ b l ˌi s ˈe ʔʌ s
publiceret|p ʔʌ b l ˌi s ˈe ʌ ð
publikation|p ˌʔu b l ʔi k a ʃ ˈʔo n
publikationen|p ˌʔu b l ʔi k a ʃ ˈʔo n ə n
publikationerne|p ˌʔu b l ʔi k a ʃ ˈʔo n ʔʌ n ə
publikum|p ˈʔu b l ʔi k ˌɒ m
publikummer|p ˈʔu b l ʔi k ˌɒ m ʔʌ
publikums|p ˈʔu b l ʔi k ˌɒ m s
publikumsfavorit|p ˈʔu b l ʔi k ˌɒ m s f a ʋ ˌo ʁ ʔi t
publikumshittene|p ˈʔu b l ʔi k ˌɒ m s h ʔi d ə n ə
publikumsmagneter|p ˈʔu b l ʔi k ˌɒ m s m a j n ˌʔe t ʔʌ 
publikumspris|p ˈʔu b l ʔi k ˌɒ m s p ʁ ʔi s
publikumsprisen|p ˈʔu b l ʔi k ˌɒ m s p ʁ ʔi s ə n
publikumsrekord|p ˌʔu b l ʔi k ˌɒ m s ʁ ε k ˈɒɒ d
publikumsrække|p ˈʔu b l ʔi k ˌɒ m s ʁ ?a k ə 
publikumstoiletterne|p ˈʔu b l ʔi k ˌɒ m s t o ˌa l ε t ˌʔʌ n ə
publikum”|p ˈʔu b l ʔi k ˌɒ m
publishing|p ˈʔu b l ʔi s h ˌʔe ŋ
publukninger|p ˈʔu b l ɒ k n ˌʔe ŋ ʔʌ
puccinis|p ʔu ʃ ˈi n ʔi s
puch|p ˈʔu ʃ
pucken|p ˈʔu k ə n
pudding|p ˈʔu ð ʔe ŋ
pudebumpene|p ˈu ð ə b ɒ m p ə n ə 
puder|p ˈu ð ʔʌ 
puderne|p ˈu ð ʔʌ n ə
pudret|p ˈʔu ð ɐ̯ ʔʌ ð
puds|p ˈʔu s
pudse|p ˈʔu s ə 
pudsede|p ˈʔu s ə ð ə
pudsig|p ˈʔu s ʔi
pudsige|p ˈʔu s i ə
pudsigt|p ˈʔu s ʔi t
puf|p ˈɒ f
puffede|p ˈʔu f ə ð ə
puggaard|p ˈɔ ɡ ɡ a ˌɑ d
pugh|p ˈʔu ɡ h
puglia|p ˈʔu l ʔi ˌa
pujalte|p ˈʔu j a l d ə 
puk|p ˈʔu k
pukkel|p ˈɒ k ə l
pukkelhvalernes|p ˈɒ k ə l ʋ a l ˌʔʌ n ə s
pukki|p ˈɒ k ʔi
puklen|p ˈɒ k l ə n
pulisic|p ˈʔu l ʔi s ˌʔi k
pulje|p ˈu l j ə
puljen|p ˈu l j ə n
puljens|p ˈu l j ə n s
puljer|p ˈu l j ʔʌ
pullover|p ˈʔu l ɒ w ˌʔʌ
puls|p ˈʔu l s
pulsen|p ˈʔu l s ə n
pulserende|p ˈʔu l s e ɐ̯ ə n ə
pulverkaffe|p ˈɔ l ʋ ə ɐ̯ k ?ɑ f ə 
pulverslukker|p ˈɔ l ʋ ʔʌ s l ˌɒ k ʔʌ
pulversuppe|p ˈɔ l ʋ ə ɐ̯ s ɔ p ə 
puma|p ˈʔu m a
pumapunk|p ˈʔu m ?ɑ p ˌɒ n k
pumpebrønd|p ˈɒ m p ə b ɐ̯ ʔœ n
pumpede|p ˈɒ m p ə ð ə
pumpeløsninger|p ˈɒ m p ə l ʔœ s n ˌʔe ŋ ʔʌ
pumper|p ˈɒ m p ʔʌ 
pumperne|p ˈɒ m p ʔʌ n ə
pumpes|p ˈɒ m p ə  s
pumpestation|p ˈɒ m p ə s t a ʃ ˌʔo n
pumpestationen|p ˈɒ m p ə s t a ʃ ˌo n ə n
pumpgun|p ˈɒ m p ɡ ʔu n
pumpning|p ˈɒ m p n ʔe ŋ
punch|p ˈɒ n ʃ
pung|p ˈɒ ŋ
punjabi|p ˈʔu n j a b ˌʔi
punkter|p ˈɒ ŋ t ʔʌ
punktere|p ɒ ŋ t ˈʔe ʌ
punkterede|p ɒ ŋ t ˈʔe ʌ ð ə
punkterende|p ˈɒ ŋ t e ɐ̯ ə n ə
punkteret|p ɒ ŋ t ˈʔe ʌ t
punkterne|p ˈɒ ŋ t ʔʌ n ə
punktet|p ˈɒ ŋ t ə ð
punkthuse|p ˈɒ ŋ t h u s ə 
punktkilder|p ˈɒ ŋ t k ʔi l ˌʔʌ 
punktudlednings|p ˈɒ ŋ t ʔu ð l ˌʔe ð n ʔe ŋ s
punktummer|p ˈɒ ŋ t ɒ m ˌʔʌ
punto|p ˈʔu n t ʔo
pur|p ˈʔu ɐ̯
pureste|p ˈu ɐ̯ ʔʌ s d ə
purity|p ˈʔu ʁ ʔi t ˌʔy
purk|p ˈʔu ɐ̯ k
purple|p ˈœ p- ə l
purpurrødt|p ˈʔu ɐ̯ p ʔu ʁ ˌʔœ t
purunge|p ˈʔu ʁ ɒ ŋ ə 
push|p ˈʔu ʃ
pusher|p ˈʔu ʃ ʔʌ 
puslebord|p ˈʔu s l ə b ʔo ɐ̯
pusler|p ˈʔu s l ʔʌ 
puslespil|p ˈʔu s l ə s p ʔe l
puslespillene|p ˈʔu s l ə s p ʔe l ə n ə 
puslespillet|p ˈʔu s l ə s p ʔe l ə ð
puslespils|p ˈʔu s l ə s p ʔe l s
puslinge|p ˈʔu s l ʔe ŋ ə 
puslingenationen|p ˈʔu s l ʔe ŋ ˌʔe n a ʃ ˌo n ə n
pust|p ˈʔu s t
puste|p ˈʔu s d ə 
pustede|p ˈʔu s t ə ð ə
puster|p ˈʔu s t ʔʌ 
pusterum|p ˈʔu s t ʔe ʁ ˌɒ m
pustet|p ˈʔu s t ə ð
put|p ˈʔu t
putin|p ˈʔu t ʔi n
putins|p ˈʔu t ʔi n s
putska|p ˈʔu t s k a
puttede|p ˈʔu t ə ð ə
putter|p ˈʔu t ʔʌ
puttet|p ˈʔu t ə ð
puttgarden|p ˈʔu t ɡ ɑ d ə n
putzer|p ˈʔu t s ʔʌ 
pwt|p ˌe d ˌʌ b e l t ʋ ˌeː t ˈeː
pyh|p ˈʔy
pylon|p ˈʔy l ʔʌ n
pylonen|p ˈʔy l o n ə n
pylret|p ˈʔy l ɐ̯ ʔʌ ð
pyntede|p ˈʔœ n t ə ð ə
pyntelig|p ˈʔœ n t ə l ʔi
pynter|p ˈʔœ n t ʔʌ 
pyntes|p ˈʔœ n d ə  s
pyntet|p ˈʔœ n t ə ð
pynteting|p ˈʔœ n t ʔe t ˌʔe ŋ
pyongyang|p ˈʔy ʔo ŋ ˌʔy ?ɑ ŋ
pyramiden|p ˌʔy ʁ ?ɑ m ˈi ð ə n
pyramiderne|p ˌʔy ʁ ?ɑ m ˈi ð ʔʌ n ə
pyramidespilslignende|p ˌʔy ʁ ?ɑ m ˈi ð ə s p ʔe l s l ˌʔi n ə n ə
pyromanens|p ˌʔy ʁ ʔo m ˈa n ə n s
pyt|p ˈʔy t
python|p ˈʔy t h ʔo n
pytlick|p ˈʔy t l ʔi k
pytlicks|p ˈʔy t l ʔi k s
pyton|p ˈʔy t ʔʌ n
på|p ˈɒ
på'|p ˈɒ
påbegynder|p ˈʔʌ b ʔe ɡ ˌʔœ n ʔʌ 
påbegyndes|p ˈʔʌ b ʔe ɡ ˌʔœ n ə  s
påbegyndt|p ˈʔʌ b ʔe ɡ ˌʔœ n t
påbegyndte|p ˈʔʌ b ʔe ɡ ˌʔœ n d ə 
påberåbelse|p ˈʔʌ b ʔe ʁ ˌɒ b ə l s ə 
påbud|p ˈʔʌ b ˌʔu ð
påbuddet|p ˈʔʌ b ˌʔu ð ə ð
påbudsramte|p ˈʔʌ b ˌʔu ð s ʁ ?ɑ m d ə 
påbudt|p ˈʔʌ b ˌʔu t
påbyde|p ˈʔʌ b ˌy ð ə 
pådrager|p ˈʔʌ d ʁ ˌɑ w ʔʌ
pådraget|p ˈʔʌ d ʁ ˌ?ɑ w ə t
pådrog|p ˈʔʌ d ʁ ˌʔo
pådutte|p ˈʔʌ d ˌʔu t ə
pådutter|p ˈʔʌ d ˌʔu t ʔʌ 
påfaldende|p ˈʔʌ f ˌa l ə n ə
påfund|p ˈʔʌ f ɒ n
påføre|p ˈʔʌ f ˌœ ʔʌ
påfører|p ˈʔʌ f ˌœ ʔʌ
påført|p ˈʔʌ f ˌʔœ ɐ̯ t
pågik|p ˈʔʌ ɡ ˌʔi k
pågrebet|p ˈʔʌ ɡ ʁ ˌɛ b ə ð
pågribe|p ˈʔʌ ɡ ʁ ˌi b ə 
pågribes|p ˈʔʌ ɡ ʁ ˌi b ə  s
pågående|p ˈʔʌ ɡ ˌɒ ə n ə
pågår|p ˈʔʌ ɡ ˌɒ
pågældende|p ˈʔʌ ɡ ˌε l ə n ə
pågældendes|p ˈʔʌ ɡ ˌε l ə n ə s
påhviler|p ˈʔʌ ʋ ˌi l ʔʌ 
påhæftet|p ˈʔʌ h ˌε f t ə ð
påhængskøretøj|p ˈʔʌ h ˌε ŋ s k œ ˌʔʌ t ʔʌ j
påklædningen|p ˈʔʌ k l ˌε ð n ʔe ŋ ə n
påklædningsdukker|p ˈʔʌ k l ˌε ð n ʔe ŋ s d ˌɒ k ʔʌ
påkrævede|p ˈʔʌ k ʁ ˌɛ ʋ ə ð ə
påkrævet|p ˈʔʌ k ʁ ˌɛ ʋ ə ð
påkører|p ˈʔʌ k ˌœ ʔʌ
påkørslen|p ˈʔʌ k ˌʔœ ɐ̯ s l ə n
påkørt|p ˈʔʌ k ˌʔœ ɐ̯ t
påkørte|p ˈʔʌ k ˌʔœ ɐ̯ d ə 
pålidelig|p ʔʌ l ˈi ð ə l ʔi
pålidelige|p ʔʌ l ˈi ð ə l ʔi ə 
pålsson|p ˈʔʌ l s ˌʔo n
pålydende|p ˈʔʌ l ˌʔy ð ə n ə
pålæggelse|p ˈʔʌ l ε ɡ ə l s ə 
pålægges|p ˈʔʌ l ε ɡ ə  s
påminde|p ˈʔʌ m ˌʔe n ə 
påny|p ˈʔʌ n ˌy
pånær|p ˈʔʌ n ˌε ɐ̯
påpasselig|p ˈʔʌ p ˌa s ə l ʔi
påpasselige|p ˈʔʌ p ˌa s ə l ˌi ə
påpasselighed|p ˈʔʌ p ˌa s ə l ʔi h ˌʔe ð
påpege|p ˈʔʌ p ˌaɪ ə 
påpegede|p ˈʔʌ p ˌaɪ ə ð ə
påpeger|p ˈʔʌ p ˌaɪ ʔʌ
påpeges|p ˈʔʌ p ˌaɪ ə  s
påpeget|p ˈʔʌ p ˌaɪ ə ð
påregne|p ˈʔʌ ʁ ˌ?ɑ j n ə 
pårup|p ˈʔʌ ʁ ˌɒ p
pårørende|p ˈʔʌ ʁ ˌœ ʔʌ n ə
pårørendementor|p ˈʔʌ ʁ ˌœ ʔʌ n ʔe m ˌε n t ʔʌ
pårørenderåd|p ˈʔʌ ʁ ˌœ ʔʌ n ˌʔʌ  ɒ ð
pårørendes|p ˈʔʌ ʁ ˌœ ʔʌ n ə  s
pårørendevejledere|p ˈʔʌ ʁ ˌœ ʔʌ n ə ʋ ˌ?ɑ j l e ð ˌʌ ʔʌ
pårørerende|p ˈʔʌ ʁ ˌœ ʔʌ ɐ̯ ə n ə
pårørt|p ˈʔʌ ʁ ˌʔœ ɐ̯ t
pårørte|p ˈʔʌ ʁ ˌʔœ ɐ̯ d ə
påsat|p ˈʔʌ s ˌa t
påsatte|p ˈʔʌ s ˌa t ə 
påskebesøg|p ˈɒɒ s k ə b ʔe s ˌʔœ j
påskedag|p ˈɒɒ s k ə d a
påskedage|p ˈɒɒ s k ə d a j ə
påskedagene|p ˈɒɒ s k ə d a j ə n ə 
påskeevangeliet|p ˈɒɒ s k ə  ʔe ʋ ˌ?ɑ n ɡ ʔe l j ə ð
påskeferie|p ˈɒɒ s k ə f ʔe ɐ̯ j ə
påskeferien|p ˈɒɒ s k ə f ʔe ɐ̯ j ə n
påskefortællinger|p ˈɒɒ s k ə f ʌː t ˌε l ʔe ŋ ˌʔʌ
påskefreden|p ˈɒɒ s k ə f ʁ ε ð ə n
påskefrokoster|p ˈɒɒ s k ə f ʁ ɔ k ˌʔʌ s t ʔʌ 
påskegudstjenesten|p ˈɒɒ s k ə j ʔu s t j ˌɛ n ə s d ə n
påskegåtur|p ˈɒɒ s k ə j ɒ t ˌʔu ɐ̯
påskeharen|p ˈɒɒ s k ə h ɑ ˌɑ  n
påskelørdag|p ˈɒɒ s k ə l ʔœ ɐ̯ d ˌa
påsken|p ˈɒɒ s k ə n
påskens|p ˈɒɒ s k ə n s
påskepuslespil|p ˈɒɒ s k ə p ʔu s l ə s p ˌʔe l
påskesalget|p ˈɒɒ s k ə s a l j ə ð
påskesøndag|p ˈɒɒ s k ə s ʔœ n d ˌa
påskeudstilling|p ˈɒɒ s k ə  ʔu s t ˌʔe l ʔe ŋ
påskeugen|p ˈɒɒ s k ə  u ə n
påskevandring|p ˈɒɒ s k ə ʋ ?ɑ n d ʁ ˌʔe ŋ
påske«|p ˈɒɒ s k ə 
påskeåbning|p ˈɒɒ s k ə  ɒ b n ˌʔe ŋ
