&|ɟ ˈəʊɜ v ˌaː2 
weghorst| w ˈɛ7 ɡ h ɔːɔː s t  
wei| w ˈaɪ7  
weinstein| w ˈaɪ7 n s t aɪ1 n  
weiss| w ˈaɪ7 s  
wellington| w ˈɛ7 l ɪ1 ŋ t ə1 n  
wellness| w ˈɛ7 l n ə1 s  
wellness”| w ˈɛ7 l n ə1 s  
wells|(en) w ˈɛ7 l z (vi)
wengen| w ˈɛ7 n dʒ ə1 n  
wenger| w ˈɛ7 n dʒ əə  
werder| w ˈɜː7 d əə  
werner| w ˈɜː7 n əə  
werson| w ˈɜː7 s ə1 n  
wes| w ˈɛ7 z  
west| w ˈɛ7 s t  
westbrook| w ˈɛ7 s t b ɹ ʊ1 k  
western| w ˈɛ7 s t əə n  
westga| w ˈɛ7 s t ɡ ə1  
westminster| w ˈɛ7 s t m ɪ1 n s t əə  
weston| w ˈɛ7 s t ə1 n  
westphalia| w ɛ1 s t f ˈeɪ7 l iə1  
westwood| w ˈɛ7 s t w ʊ1 d  
wet| w ˈɛ7 t  
weverse| w ˈɛ7 v ɜː1 s  
weverton| w ˈɛ7 v ɜː1 t ə1 n  
whatsapp| w ˈɒ7 t s a1 p  
wheeler| w ˈiː7 l əə  
whilsky|(en) w ˈɪ7 l s k ii (vi)
white| w ˈaɪ7 t  
whitepaper| w ˈaɪ7 t p eɪ1 p əə  
whitmore| w ˈɪ7 t m ɔːɔː  
whitty| w ˈɪ7 t ii  
who| h ˈuː7  
wi| w ˈaɪ7  
wickremesinghe| w ˈɪ7 k ɹ ɪ1 m ˌɛ1 s ɪ1 ŋ h  
widodo| w ɪ1 d ˈəʊəʊ d əʊəʊ  
wifi| w ˈaɪ7 f aɪ1  
wijnaldum| w eɪ1 n ˈa7 l d ə1 m  
wikileaks| w ˈɪ7 k ii l ˌiː1 k s  
wilder| w ˈaɪ7 l d əə  
will| w ˈɪ7 l  
william| w ˈɪ7 l iə1 m  
williams| w ˈɪ7 l iə1 m z  
williamson| w ˈɪ7 l ɪ1  ˌa1 m s ə1 n  
willis| w ˈɪ7 l ɪ1 s  
willow| w ˈɪ7 l əʊəʊ  
wills| w ˈɪ7 l z  
wilmots| w ˈɪ7 l m ɒ1 t s  
wilshere| w ˈɪ7 l ʃ əə  
wilson| w ˈɪ7 l s ə1 n  
wilton| w ˈɪ7 l t ə1 n  
wimbledon| w ˈɪ7 m b ələl d ə1 n  
win| w ˈɪ7 n  
wind| w ˈɪ7 n d  
windows| w ˈɪ7 n d əʊəʊ z  
windsor| w ˈɪ7 n d s əə  
winehouse| w ˈaɪ7 n h aʊ1 s  
winfrey| w ˈɪ7 n f ɹ ii  
winhousing| w ˈɪ7 n h aʊ1 s ɪ1 ŋ  
winmart+| w ˈɪ1 n m ɑːɑː t   ɟ ˈəʊɜ k ˈo6 ŋ 
winnsboro| w ˈɪ7 n s b ə1 ɹ ˌəʊəʊ  
winsbank| w ˈɪ7 n s b a1 ŋ k  
winslet| w ˈɪ7 n s l ɪ1 t  
wisconsin| w ɪ1 s k ˈɒ7 n s ɪ1 n  
wish| w ˈɪ7 ʃ  
wissing| w ˈɪ7 s ɪ1 ŋ  
witcher| w ˈɪ7 tʃ əə  
with| w ɪ1 ð  
without| w ɪ1 ð ˈaʊ7 t  
witoon| w ɪ1 t ˈuː7 n  
wiv| w ˈɪ7 v  
wjsn|v ˌe1 k ˌɛɜ p ɡ ˌi1  ˌɛɜ s ˈɛ7 n əː2 
wkorea| d ˈʌ1 b ələl j ˌuː1 k ɔːɔː ɹ ˈiə7  
wolf| w ˈʊ7 l f  
wolfsburg| w ˈʊ7 l f s b ɜː1 ɡ  
wolverhampton| w ˌʊ1 l v əə h ˈa7 m p t ə1 n  
wolverine| w ˈʊ7 l v əə ɹ ˌiː1 n  
wolves| w ˈʊ7 l v z  
won| w ˈʌ7 n  
wonder| w ˈʌ7 n d əə  
wondertour| w ˈʌ7 n d əə t ˌʊə1  
wonho| w ˈʌ7 n h əʊəʊ  
wonju| w ˈʌ7 n dʒ uː1  
wonyoung| w ˈʌ7 n ɪ1  ˌʌ1 ŋ  
woo| w ˈuː7  
woodie| w ˈʊ7 d ii  
woods| w ˈʊ7 d z  
wook| w ˈʊ7 k  
wool| w ˈʊ7 l  
woong| w ˈuː7 ŋ  
woori| w ˈɔːɔː ɹ ii  
wooten| w ˈuː7 t ə1 n  
woo…| w ˈuː7  
worawut| w ˈɔːɔː ɹ ɐɐ w ˌʌ1 t  
word| w ˈɜː7 d  
words| w ˈɜː7 d z  
work| w ˈɜː7 k  
workshop| w ˈɜː7 k ʃ ɒ1 p  
world| w ˈɜː7 l d  
world”| w ˈɜː7 l d  
world…| w ˈɜː7 l d  
wouter| w ˈaʊ7 t əə  
wow| w ˈaʊ7  
wowy| w ˈaʊ7 ii  
wray| ɹ ˈeɪ7  
wright| ɹ ˈaɪ7 t  
writing| ɹ ˈaɪ7 t ɪ1 ŋ  
wsj|v ˌe1 k ˌɛɜ p ˌɛɜ s ɡ ˈi7 
wta| d ˌʌ1 b ələl j ˌuː1 t ˌiː1  ˈeɪ7  
wto| d ˌʌ1 b ələl j ˌuː1 t ˌiː1  ˈəʊəʊ  
wu| w ˈuː7  
wushu| w ˈʌ7 ʃ uː1  
wussung| w ˈʌ7 s ʌ1 ŋ  
wuttke| w ˈʌ7 t k  
www|v ˌe1 k ˌɛɜ p v ˌe1 k ˌɛɜ p v ˈe7 k ˌɛɜ p 
wxrdie| d ˌʌ1 b ələl j ˌuː1 ˌɛ1 k s ˈɑːɑː d ˈaɪ7  
wyatt| w ˈaɪ7 ə1 t  
wyndham| w ˈɪ7 n d ə1 m  
wyoming| w aɪ1 ˈəʊəʊ m ɪ1 ŋ  
wyss| w ˈɪ7 s  
x|ˈiɜ c 
xa|s ˈaː7
xalach| z ˈa7 l a1 tʃ  
xang|s ˈaː7 ŋ
xanh|s ˈe-7 ɲ
xanh’|s ˈe-7 ɲ 
xanh”|s ˈe-7 ɲ 
xanh…|s ˈe-7 ɲ 
xanthone| z ˈaa n θ əʊəʊ n  
xao|s ˈaː7 w
xao”|s ˈaː7 w 
xavi| z ˈa7 v ii  
xavier| z ˈeɪ7 v ii  əə  
xay|s ˈa7 j 
xào|s ˈaː2 w 
xác|s ˈaːɜ c 
xám|s ˈaːɜ m 
xám”|s ˈaːɜ m 
xây| z ˈa7 ii  
xã|s ˈaː5 
xăng|s ˈaː7 ŋ 
xảy|s ˈa4 j 
xa…|s ˈaː7 
xa…”|s ˈaː7 
xceed| ˈɛ1 k s s ˈiː7 d  
xdcb|ˌiɜ c d ˌe1 s ˌe1 b ˈe7 
xe|s ˈɛ7
xem|s ˈɛ7 m
xemesis| z ɛ1 m ˈiː7 s ɪ1 s  
xeo|s ˈɛ7 w
xét|s ˈɛɜ t̪ 
xe”|s ˈɛ7 
xe…”|s ˈɛ7 
xg|ˌiɜ c ð ˈe7 
xh|ˌiɜ c h ˈaɜ t 
xhaka| ˈɛ1 k s h ˈɑː7 k ə1  
xherdan| ˈɛ1 k s h ˈɜː7 d ə1 n  
xi|s ˈi7
xia|s ˈiə7
xiang|s ˈiə7 ŋ 
xiangmo|s ˈiə7 ŋ m ɔ1 
xiao|s ˈiə7 ɔ1 
xiaohongshu|s ˈiə7 ɔ1 h ˌɔ1 ŋ s h u1 
xiaomanyc| z ˈaɪ7 ə1 ɹ ˌɒ1 m ɐɐ n ˌɪ1 k  
xiaomi|s ˈiə7 ɔ1 m ˌi1 
xiaopeng|s ˈiə7 ɔ1 p ˌɛ1 ŋ 
xiaoxia|s ˈiə7 ɔ1 s ˌiə1 
xii| ɹ ˌəʊəʊ m ə1 n   t w ˈɛ7 l v  
xiii| ɹ ˌəʊəʊ m ə1 n   θ ˈɜː7 t iː1 n  
ximăng| z ˈɪ7 m a1 ŋ  
xin|s ˈi7 n
xino| z ˈiː7 n əʊəʊ  
xinđể|ˈiɜ c  ˈi1  ˈɛ1 n əː2  d ˈəː1  ˈe4 
xitric| z ˈɪ7 t ɹ ɪ1 k  
xiv| ɹ ˌəʊəʊ m ə1 n   f ˈɔːɔː t iː1 n  
xix| ɹ ˌəʊəʊ m ə1 n   n ˈaɪ7 n t iː1 n  
xiê|s ˈiɛ7
xiêm|s ˈiɛ7 m
xiêu|s ˈiɛ7 w 
xích|s ˈiɜ c 
xiết|s ˈiɛɜ t̪
xiểm|s ˈiɛ4 m
xiển|s ˈiɛ4 n 
xiểng|s ˈiɛ4 ŋ
xklđ|ˌiɜ c k ˌaː1 ˌɛ1 l əː2 d ˈəː7 
xle| ˌɛ1 k s ˌɛ1 l ˈiː7  
xo|s ˈɔ7
xoa|s w ˈaː7 
xoai|s w ˈaː7 j
xoan|s w ˈaː7 n
xoài|s w ˈaː2 j 
xoen|s w ˈɛ7 n
xom|s ˈɔ7 m
xon|s ˈɔ7 n
xong|s ˈɔ7 ŋ
xong”|s ˈɔ7 ŋ 
xor| z ˈɔːɔː  
xoài|s w ˈaː2 j 
xoàng|s w ˈaː2 ŋ
xoèn|s w ˈɛ2 n
xoét|s w ˈɛɜ t̪
xóm|s ˈɔɜ m 
xoả|s w ˈaː4
xoải|s w ˈaː4 j
xoảng|s w ˈaː4 ŋ
xoẹt|s w ˈɛ6 t̪
xpander| ˈɛ1 k s p ˈa7 n d əə  
xquang|s k w ˈaː7 ŋ 
xse|s s ˈɛ7 
xuan|s ˈuə7 n 
xui|s ˈu7 j
xum|s ˈu7 m
xung|s ˈu7 ŋ 
xuyuan|s w ˈi7 w aː1 n 
xuyên|s w ˈiɛ7 n 
xuyết|s w ˈiɛɜ t̪
xuyệt|s w ˈiɛ6 t̪ 
xuâm|s w ˈə7 m
xuân|s w ˈə7 n
xuând|(en) k ʃ ˈuː7 a1 n d (vi)
xuân’’|s w ˈə7 n 
xuân”|s w ˈə7 n 
xuất|s w ˈəɜ t̪ 
xuê|s w ˈe7
xuông|s ˈuə7 ŋ
xuống|s ˈuəɜ ŋ 
xuýt|s w ˈiɜ t̪ 
xúc|s ˈuɜ c 
xương| z ˈʌ7 ɒ1 ŋ  
xuất|s w ˈəɜ t̪ 
xuất“|s w ˈəɜ t̪ 
xuất”|s w ˈəɜ t̪ 
xuấּt|ˈiɜ c  ˈu1  ˈəɜ    h ˈiː1 b ɹ uː1  d ˈa1 ɡ ɛ1 ʃ   t ˈe7 
xuẩn|s w ˈə4 n
xuề|s w ˈe2
xuềnh|s w ˈe2 ɲ
xuể|s w ˈe4
xuống|s ˈuəɜ ŋ
xuống”|s ˈuəɜ ŋ 
xv|ˌiɜ c v ˈe7 
xvi|s v ˈi7 
xvii| ɹ ˌəʊəʊ m ə1 n   s ˈɛ7 v ə1 n t ˌiː1 n  
xx|ˌiɜ c ˈiɜ c 
xxl”|ˌiɜ c ˌiɜ c ˈɛ7 l əː2 
xy|s ˈi7
xyanua|s ˈiə7 n uə1 
xy”|s ˈi7 
xàng|s ˈaː2 ŋ
xào|s ˈaː2 w
xác|s ˈaːɜ c 
xách|s ˈe-ɜ c
xác“|s ˈaːɜ c 
xác”|s ˈaːɜ c 
xám|s ˈaːɜ m 
xám”|s ˈaːɜ m 
xán|s ˈaːɜ n
xát”|s ˈaːɜ t̪ 
xâm|s ˈə7 m
xây|s ˈəɪ7 
xâú|s ˈə7 uɜ
xấu|s ˈəɜ w 
xâּm|ˈiɜ c  ˈə1    h ˈiː1 b ɹ uː1  d ˈa1 ɡ ɛ1 ʃ   ˈɛ7 m əː2 
xã|s ˈaː5 
xã”|s ˈaː5 
xè|s ˈɛ2
xéo”|s ˈɛɜ w 
xép|s ˈɛɜ p
xét|s ˈɛɜ t̪ 
xét”|s ˈɛɜ t̪ 
xê|s ˈe7
xênh|s ˈe7 ɲ
xì|s ˈi2 
xình|s ˈi2 ɲ
xìu|s ˈi2 w
xí|s ˈiɜ 
xích|s ˈiɜ c 
xích’|s ˈiɜ c 
xích”|s ˈiɜ c 
xính|s ˈiɜ ɲ
xít|s ˈiɜ t̪
xòa|s w ˈaː2
xòe|s w ˈɛ2
xòm|s ˈɔ2 m
xòng|s ˈɔ2 ŋ
xóa|s w ˈaːɜ
xóe|s w ˈɛɜ 
xói|s ˈɔɜ j
xóm|s ˈɔɜ m 
xóm”|s ˈɔɜ m 
xót|s ˈɔɜ t̪
xôi|s ˈo7 j
xôm|s ˈo7 m
xôn|s ˈo7 n
xõa|s w ˈaː5
xõng|s ˈɔ5 ŋ
xù|s ˈu2 
xùa|s ˈuə2 
xùm|s ˈu2 m
xù”|s ˈu2 
xú|s ˈuɜ 
xúc|s ˈuɜ c 
xúc…|s ˈuɜ c 
xúng|s ˈuɜ ŋ
xúy|s w ˈiɜ 
xăng|s ˈa7 ŋ 
xăng”|s ˈa7 ŋ 
xĩnh|s ˈi5 ɲ
xơm|s ˈəː7 m
xơ…|s ˈəː7 
xơ…tốt|s ˈəː7 t̪ ˈoɜ t̪ 
xưa|s ˈyə7
xưa'|s ˈyə7 
xưa”|s ˈyə7 
xưng|s ˈy7 ŋ 
xưng”|s ˈy7 ŋ 
xương|s ˈyə7 ŋ
xứng|s ˈyɜ ŋ 
xử|s ˈy4 
xường|s ˈyə2 ŋ
xưởng|s ˈyə4 ŋ
xược|s ˈyə6 c
xּử|ˈiɜ c    h ˈiː1 b ɹ uː1  d ˈa1 ɡ ɛ1 ʃ   ˈy4 
xạ|s ˈaː6
xạc|s ˈaː6 c
xạch|s ˈe-6 c
xạp|s ˈaː6 p
xả|s ˈaː4 
xảm|s ˈaː4 m
xấc|s ˈəɜ c
xấu|s ˈəɜ w
xầm|s ˈə2 m
xẩm|s ˈə4 m
xẩu|s ˈə4 w
xẩy|s ˈəɪ4
xập|s ˈə6 p 
xắc|s ˈaɜ c
xằng|s ˈa2 ŋ
xẵng|s ˈa5 ŋ
xẹo|s ˈɛ6 w
xẻn|s ˈɛ4 n 
xẻo|s ˈɛ4 w
xế|s ˈeɜ
xếp|s ˈeɜ p
xếp…|s ˈeɜ p 
xề|s ˈe2 
xềnh|s ˈe2 ɲ
xể|s ˈe4
xệch|s ˈe6 c
xệp|s ˈe6 p
xệt|s ˈe6 t̪
xệ”|s ˈe6 
xỉ|s ˈi4
xỉnh|s ˈi4 ɲ
xịch|s ˈi6 c
xịn|s ˈi6 n 
xịt”|s ˈi6 t̪ 
xọc|s ˈɔ6 k
xọp|s ˈɔ6 p
xỏa|s w ˈaː4
xỏng|s ˈɔ4 ŋ
xố|s ˈoɜ
xốn|s ˈoɜ n
xống|s ˈoɜ ŋ
xồ|s ˈo2
xồm|s ˈo2 m
xồng|s ˈo2 ŋ
xổ|s ˈo4
xổi|s ˈo4 j
xổm|s ˈo4 m
xổng|s ˈo4 ŋ
xộc|s ˈo6 k
xộn|s ˈo6 n
xộn”|s ˈo6 n 
xớt|s ˈəːɜ t̪
xờm|s ˈəː2 m
xở|s ˈəː4
xởi|s ˈəː4 j
xở”|s ˈəː4 
xợt|s ˈəː6 t̪
xụ|s ˈu6
xục|s ˈu6 c
xụi|s ˈu6 j
xụp|s ˈu6 p
xụt|s ˈu6 t̪
xứ|s ˈyɜ
xứng|s ˈyɜ ŋ 
xứng”|s ˈyɜ ŋ 
xừ|s ˈy2
xử|s ˈy4
xửa|s ˈyə4
xử”|s ˈy4 
y|ˈi7 
ya|ˈiə7 
yadav| j ˈa7 d a1 v  
yadeun| j ˈa7 d j uː1 n  
yagao|ˈiə7 ɣ aː1 w 
yaghi|ˈiə7 ɣ i1 
yahia|ˈiə7 h iə1 
yahoo|ˈiə7 h ɔ1 
yahya|ˈiə7 h iə1 
yair| j ˈeə7  
yakin|ˈi1  ˈaː1  k ˈaː1  ˈi1  ˈɛ7 n əː2 
yakutia|ˈi1  ˈaː1  k ˈaː1  ˈu1  t ˈe1  ˈi1  ˈaː7 
yakutsk|ˈi1  ˈaː1  k ˈaː1  ˈu1  t ˈe1  ˈɛɜ s  k ˈaː7 
yaly|ˈiə7 l i1 
yamagaki| j ˌa1 m ɐɐ ɡ ˈa7 k ii  
yamagami| j ˌa1 m ɐɐ ɡ ˈɑː7 m ii  
yamagiwa| j ˈa7 m ɐɐ dʒ ˌɪ1 w ə1  
yamaha| j ˈa7 m ə1 h ˌɑː1  
yamamoto| j ˌa1 m ɐɐ m ˈəʊəʊ t əʊəʊ  
yampol| j ˈa7 m p ɒ1 l  
yamunotri| j ˈa7 m ə1 n ˌɒ1 t ɹ ii  
yanagi| j a1 n ˈɑː7 ɡ ɪ1  
yang|ˈiə7 ŋ 
yangyang|ˈiə7 ŋ iə1 ŋ 
yankovic|ˈi1  ˈaː1  ˈɛ1 n əː2  k ˈaː1  ˈɔ1  v ˈe1  ˈi1  s ˈe7 
yaoundé|ˈiə7 w w n z ɛɜ 
yariv| j ˈɑːɑː ɹ ɪ1 v  
yasukazu| j ˌa1 s uː1 k ˈɑː7 z uː1  
yatimov| j ˈa7 t ɪ1 m ˌɒ1 v  
yaya|ˈiə7 iə1 
yazi|ˈiə7 z i1 
ybarz| ˈɪ7 b ɑːɑː z  
ybrid| ˈɪ7 b ɹ ɪ1 d  
ye| j ˈiː7  
year's| j ˈiə7 z  
yeliseyev| j ˈɛ7 l aɪ1 s j ˌɛ1 v  
yellen| j ˈɛ7 l ə1 n  
yeltsin| j ˈɛ7 l t s ɪ1 n  
yemen| j ˈɛ7 m ə1 n  
yen| j ˈɛ7 n  
yeo| j ˈəʊəʊ  
yeol| j ˈəʊəʊ l  
yeom| j ˈəʊəʊ m  
yeon| j ˈəʊəʊ n  
yeop| j ˈəʊəʊ p  
yerevan| j ˌɛ1 ɹ ə1 v ˈa7 n  
yergin| j ˈɜː7 dʒ ɪ1 n  
yerzhanov| j ˈɜː7 ʒ ɐɐ n ˌɒ1 v  
yes| j ˈɛ7 s  
yes’| j ˈɛ7 s  
yg|ˈi1  ð ˈe7 
ygal| ˈɪ7 ɡ ələl  
yi|ˈi7 j 
ying|ˈi7 j ŋ 
yiwei| j ˈɪ7 w eɪ1  
ykvn…| ˈɪ7 k v ə1 n  
yo| j ˈəʊəʊ  
yoann| j ˈəʊəʊ n  
yodmaneem| j ˌɒ1 d m ɐɐ n ˈiː7 m  
yoel| j ˈəʊəʊ l  
yoga| j ˈəʊəʊ ɡ ə1  
yogesh| j ˈəʊəʊ ɡ ə1 ʃ  
yogurt| j ˈɒ7 ɡ ɜː1 t  
yokohama| j ˌɒ1 k əʊəʊ h ˈɑː7 m ə1  
yonaguni| j ˌɒ1 n ɐɐ ɡ ˈuː7 n ii  
yong| j ˈɒ7 ŋ  
yongsan| j ˈɒ7 ŋ s ə1 n  
yongyuth| j ˈɒ7 ŋ ɪ1  ˌʌ1 θ  
yoo| j ˈuː7  
yoochun| j ˈuː7 tʃ ʌ1 n  
yoon| j ˈuː7 n  
yoona| j ˈuː7 n ə1  
yooyen| j ˈuː7 j ə1 n  
york| j ˈɔːɔː k  
yoshimasa| j ˌɒ1 ʃ ɪ1 m ˈɑː7 s ə1  
yoshimatsu| j ˌɒ1 ʃ ɪ1 m ˈa7 t s uː1  
yoshimoto| j ˌɒ1 ʃ ɪ1 m ˈəʊəʊ t əʊəʊ  
yoshimune| j ˈɒ7 ʃ ɪ1 m j ˌuː1 n  
you| j uː1  
youl| j ˈaʊ7 l  
young| j ˈʌ7 ŋ  
youngest| j ˈʌ7 ŋ ɡ ɪ1 s t  
younglim| j ˈʌ7 ŋ ɡ l ɪ1 m  
your| j ɔːɔː  
youri| j ˈɔːɔː ɹ ii  
youssef| j ˈaʊ7 s ɛ1 f  
youtube| j ˈuː7 t j uː1 b  
youtuber| j ˈuː7 t j uː1 b əə  
yoweri| j ˈaʊ7 əə ɹ ii  
ytterbium| ˈɪ7 t əə b ˌiə1 m  
yu| j ˈuː7  
yuanli| j ˈuː7 a1 n l ii  
yuanta| j uː1 ˈa7 n t ə1  
yue| j ˈuː7  
yueun| j ˈuː7 j uː1 n  
yuki| j ˈuː7 k ii  
yul| j ˈʌ7 l  
yumoto| j uː1 m ˈəʊəʊ t əʊəʊ  
yunbin| j ˈuː7 n b ɪ1 n  
yung| j ˈʌ7 ŋ  
yunoos| j ˈuː7 n uː1 z  
yunus| j ˈuː7 n ə1 s  
yuqing| j ˈuː7 k ɪ1 ŋ  
yuri| j ˈuː7 ɹ ii  
yurina| j uː1 ɹ ˈiː7 n ə1  
yuriyan| j ˈuː7 ɹ ɪ1 j ə1 n  
yussuf| j ˈʌ7 s ʌ1 f  
yusuke| j uː1 s j ˈuː7 k  
yuya| j ˈuː7 j ə1  
yver|(en) ˈɪ7 v əə (vi)
yves| ˈiː7 v  
yvonne|(en) ɪ1 v ˈɒ7 n (vi)
yy|ˈi7  i1 
yàng|ˈiə2 ŋ 
yêm|ˈiɛ7 m
yên|ˈiɛ7 n 
yêng|ˈiɛ7 ŋ
yên”|ˈiɛ7 n 
yêu|ˈiɛ7 w
yêu’|ˈiɛ7 w 
yêu”|ˈiɛ7 w 
yếu|ˈiɛɜ w 
yȇu| j j ˈuː7  
ý|ˈiɜ 
yếm|ˈiɛɜ m
yến|ˈiɛɜ n 
yết|ˈiɛɜ t̪
yếu|ˈiɛɜ w
yểng|ˈiɛ4 ŋ
y…|ˈi7 
z|z ˈɛɜ t 
zadira| z a1 d ˈiə7 ɹ ə1  
zafrul| z ˈa7 f ɹ ʌ1 l  
zagorakis| z ˌa1 ɡ ɔːɔː ɹ ˈa7 k ii z  
zagreb| z ˈa7 ɡ ɹ ɛ1 b  
zahara| z a1 h ˈɑːɑː ɹ ə1  
zahawi| z a1 h ˈɑː7 w ɪ1  
zakaria| z a1 k ˈeə7 ɹ iə1  
zakarpatia| z ˌa1 k ɑːɑː p ˈeɪ7 ʃ ə1  
zakharova| z ˌa1 k ɑːɑː ɹ ˈəʊəʊ v ə1  
zakhidova| z ˌa1 k h ɪ1 d ˈəʊəʊ v ə1  
zalo| z ˈɑː7 l əʊəʊ  
zamir| z ˈa7 m iə1  
zamora| z ˈa7 m ɔːɔː ɹ ə1  
zap| z ˈa7 p  
zaporizhia| z ˌa1 p ɔːɔː ɹ ˈɪ7 ʒ iə1  
zaporizhizhia| z ˌa1 p ɔːɔː ɹ ɪ1 ʒ ˈɪ7 ʒ iə1  
zaporizhzhia| z ˌa1 p ɔːɔː ɹ ˈɪ7 ʒ ʒ iə1  
zaporizhzhya| z ˈa7 p ɔːɔː ɹ ˌɪ1 ʒ ʒ ɪ1  ə1  
zaporozhye| z ˈa7 p ɔːɔː ɹ ˌɒ1 ʒ aɪ1  
zara| z ˈɑːɑː ɹ ə1  
zaw| z ˈɔː7  
zawahiri| z ˌa1 w ɐɐ h ˈiə7 ɹ ii  
zayden|z ˈa7 j z ɛ1 n 
zealand| z ˈiː7 l ə1 n d  
zeaxanthin| z ˈiː7 k s aa n θ ˌɪ1 n  
zebra| z ˈɛ7 b ɹ ə1  
zed| z ˈɛ7 d  
zeebrugge| z ˈiː7 b ɹ ʌ1 ɡ  
zeeshan| z ˈiː7 ʃ ə1 n  
zeke| z ˈiː7 k  
zeland| z ˈɛ7 l ə1 n d  
zeldin| z ˈɛ7 l d ɪ1 n  
zelenska| z ɛ1 l ˈɛ7 n s k ə1  
zelenskiy| z ˈɛ7 l ə1 n s k ˌɪ1  ii  
zelensky| z ɛ1 l ˈɛ7 n s k ii  
zem|z ˈɛ7 m 
zeneden| z ˈɛ7 n ɛ1 d ə1 n  
zeng|z ˈɛ7 ŋ 
zenit| z ˈɛ7 n ɪ1 t  
zenith| z ˈɛ7 n ɪ1 θ  
zenpark| z ˈɛ7 n p ɑːɑː k  
zero| z ˈiə7 ɹ əʊəʊ  
zhang|z h ˈaː7 ŋ 
zhao|z h ˈaː7 w 
zhdanova| z ˌɛ1 d ˈeɪ1 tʃ d a1 n ˈəʊəʊ v ə1  
zhen|z h ˈɛ7 n 
zheng|z h ˈɛ7 ŋ 
zhenhua| ʒ ˈɛ7 n h j uː1 ə1  
zhi|z h ˈi7 
zhu|z h ˈu7 
zhyan|z h ˈiə7 n 
zi|z ˈi7 
zico| z ˈiː7 k əʊəʊ  
zidane| z ˈɪ7 d eɪ1 n  
zimbabwe| z ɪ1 m b ˈɑː7 b w ii  
zinca| z ˈɪ7 ŋ k ə1  
zinchenko| z ɪ1 n tʃ ˈɛ7 ŋ k əʊəʊ  
zinedine| z ˈaɪ7 n d iː1 n  
zip| z ˈɪ7 p  
zirazyo| z ˈɜː7 ɹ eɪ1 z ɪ1  ˌəʊəʊ  
zircon| z ˈɜː7 k ə1 n  
zium|z ˈi7 w m 
ziyech| z ˈɪ7 j ɛ1 tʃ  
zizou| z ˈɪ7 z uː1  
zlatko| z ˈɛ1 d l ˈa7 t k əʊəʊ  
zlauvinen| z ˈɛ1 d l ˈəʊəʊ v aɪ1 n ə1 n  
zoe|z w ˈɛ7 
zoey| z ˈəʊəʊ ii  
zola|z ˈɔ7 l aː1
zombie| z ˈɒ7 m b ii  
zona|z ˈɔ7 n aː1 
zoodoo|z ˈɔ7 z ɔ1 
zoom|z ˈɔ7 m 
zska|z ˈɛɜ t  ˈɛɜ s  k ˈaː1  ˈaː7 
zubarah| z j ˈuː7 b a1 ɹ ə1  
zubimendi| z j ˌuː1 b aɪ1 m ˈɛ7 n d ii  
zuckerberg| z ˈʌ7 k əə b ˌɜː1 ɡ  
zum|z ˈu7 m 
zunyou| z ˈʌ7 n ɪ1  ˌuː1  
zurich| z j ˈʊ7 ɹ ɪ1 k  
zurna”| z ˈɜː7 n ə1  
zvi|z v ˈi7 
zé|z ˈɛɜ 
»|
½| ɐɐ  h ˈɑː7 f  
¾|
à|ˈaː2
àm|ˈaː2 m 
àn|ˈaː2 n
ành|ˈe-2 ɲ
ào|ˈaː2 w
àà|ˈaː2 aː2
á|ˈaːɜ
ác|ˈaːɜ c
ái|ˈaːɜ j
ái’|ˈaːɜ j 
ái”|ˈaːɜ j 
ám|ˈaːɜ m
áme|ˈaːɜ m ɛ1
án|ˈaːɜ n
án“|ˈaːɜ n 
án”|ˈaːɜ n 
án…|ˈaːɜ n 
áo|ˈaːɜ w
áo”|ˈaːɜ w 
áp|ˈaːɜ p 
áy|ˈaɜ j
áּi|ˈaːɜ    h ˈiː1 b ɹ uː1  d ˈa1 ɡ ɛ1 ʃ   ˈi7 
á”|ˈaːɜ 
á…|ˈaːɜ 
âm|ˈə7 m 
âm”|ˈə7 m 
âm…|ˈə7 m 
ân|ˈə7 n
âu|ˈə1 w
ây|ˈəɪ7
âý|ˈə7 iɜ
ấn|ˈəɜ n 
ấy|ˈəɪɜ 
ấy”|ˈəɪɜ 
ẩm|ˈə4 m 
ập|ˈə6 p 
âּm|ˈə1    h ˈiː1 b ɹ uː1  d ˈa1 ɡ ɛ1 ʃ   ˈɛ7 m əː2 
âּn|ˈə1    h ˈiː1 b ɹ uː1  d ˈa1 ɡ ɛ1 ʃ   ˈɛ7 n əː2 
ã|ˈaː5
è|ˈɛ2
èo|ˈɛ2 w
é|ˈɛɜ
école|ˈɛɜ k ɔ1 l ˌɛ1 
éducation|(en) ɪ1 dʒ uː1 k ˈeɪ7 ʃ ə1 n (vi)
ép|ˈɛɜ p
épis|(en) ˈeɪ7 p ii z (vi)
épouser|(en) ɪ1 p ˈaʊ7 s əə (vi)
ép’|ˈɛɜ p 
ê|ˈe7 
êkíp|ˈe1  k ˈaː1  ˈiɜ  p ˈe7 
être|ˈe7 tʃ ɛ1
êu|ˈe1 w
ì|ˈi2 
í|ˈiɜ
ích|ˈiɜ c
ích”|ˈiɜ c 
ích…|ˈiɜ c 
ín|ˈiɜ n
ít|ˈiɜ t̪ 
ít”|ˈiɜ t̪ 
íu|ˈiɜ w
ðiền|ɗ ˈiɛ2 n 
ðiều|ɗ ˈiɛ2 w 
ðà|ɗ ˈaː2 
