&| ˈɔ k
skitföretag|sx ˈɪ t f øː r ˌeː t ɑː ɡ
skithålet|sx ˈɪ t h oː l ə t
skitjobbigt|sx ˈɪ ɕ ɔ b ˌɪ k t
skitkul|sx ˈɪ t k ʉ l
skitlag|sx ˈɪ t l ɑː ɡ
skitmycket|sx ˈɪ t m y k ə t
skitmål|sx ˈɪ t m oː l
skitprogram”|sx ˈɪ t p r ɔ ɡ r ˌa m
skiträdd|sx ˈɪ t r ɛː d
skitsamma|sx ˈɪ t s a m ˌa
skitsnack|sx ˈɪ t s n a k
skitsticka|sx ˈɪ t s t ɪ kː ˌa
skitstövel|sx ˈɪ t s t øː v ə l
skitsvårt|sx ɪ t s v ˈoː t
skitväska|sx ˈɪ t v ə s k ˌa
skit”|sx ˈiː t
skiva|sx ˈiː v a
skivan|sx ˈiː v a n
skivans|sx iː v ˈa n s
skivarp|sx ˈiː v a r p
skivbandning|sx ˈɪ v b a n d n ˌɪ ŋ
skivbolag|sx ˈɪ v b uː l ˌɑː ɡ
skivbolagen|sx ˈɪ v b uː l ˌɑː ɡ ə n
skivbolaget|sx ˈɪ v b uː l ˌɑː ɡ ə t
skivmässa|sx ˈɪ v m ə s ˌa
skivor|sx ˈiː v uː r
skivorna|sx ˈiː v uː r n ˌa
skivsamlande|sx ˈɪ v s a m l ˌa n d ə
skjorta|ɕ ˈuː t a
skjortan|ɕ ˈuː t a n
skjortor|ɕ ˈuː t ɔ r
skjut|ɕ ˈʉ t
skjuta|ɕ ˈʉ t a
skjutas|ɕ ˈʉ t a s
skjutbanorna|ɕ ˈʉ t b a n ˌuː r n a
skjutdörrar|ɕ ɵ t d ˈœ r a r
skjutdörren|ɕ ɵ t d ˈœ r ə n
skjuten|ɕ ˈʉ t ə n
skjuter|ɕ ˈʉ t ə r
skjutfält|ɕ ˈʉ t f ə l t
skjutfältet|ɕ ˈʉ t f ə l t ə t
skjutglada|ɕ ˈʉ t ɡ l ɑː d ˌa
skjutits|ɕ ˈʉ t ɪ t s
skjutna|ɕ ˈʉ t n a
skjutne|ɕ ˈʉ t n ə
skjutning|ɕ ˈʉ t n ɪ ŋ
skjutningar|ɕ ˈʉ t n ɪ ŋ ˌa r
skjutningarna|ɕ ˈʉ t n ɪ ŋ ˌa r n a
skjutningen|ɕ ˈʉ t n ɪ ŋ ə n
skjutsa|ɕ ˈʉ t s a
skjutsade|ɕ ˈʉ t s a d ə
skjutsas|ɕ ˈʉ t s a s
skjuttider|ɕ ˈɵ tː iː d ə r
skjutvallen|ɕ ˈʉ t v a l ə n
skjutvapen|ɕ ˈʉ t v a p ə n
skjutvapendelar|ɕ ˈʉ t v a p ˌɛ n d ə l ˌa r
skjutvapenvåld|ɕ ˈʉ t v a p ˌɛ n v oː l d
skjutvapnet|ɕ ˈʉ t v a p n ə t
sklt|ˌɛ s k ˌoː ˌɛ l t ˈeː
sko|s k ˈuː
skoask|s k ˈuː a s k
skockat|s k ˈɔ kː a t
skoda|s k ˈoː d a
skogar|s k ˈuː ɡ a r
skogarna|s k ˈuː ɡ a r n ˌa
skogen|s k ˈuː j ə n
skogens|s k ˈuː j ə n s
skogen”|s k ˈuː j ə n
skogh|s k ˈɔ ɡ h
skoghall|s k ˈɔ ɡ h a l
skogkrämsburkar|s k ˈɔ ɡ k r ə m s b ˌɵ r k a r
skoglund|s k ˈɔ ɡ l ɵ n d
skogrika|s k ˈɔ ɡ r iː k a
skogs|s k ˈɔ ɡ s
skogsanslag|s k ˈɔ ɡ s a n s l ˌɑː ɡ
skogsbolag|s k ˈɔ ɡ s b uː l ˌɑː ɡ
skogsbolagen|s k ˈɔ ɡ s b uː l ˌɑː ɡ ə n
skogsbrand|s k ˈɔ ɡ s b r a n d
skogsbranden|s k ˈɔ ɡ s b r a n d ə n
skogsbruk|s k ˈɔ ɡ s b r ʉ k
skogsbruket|s k ˈɔ ɡ s b r ʉ k ə t
skogsbruksplaner|s k ˈɔ ɡ s b r ɵ k s p l ˌa n ə r
skogsbrynet|s k ˈɔ ɡ s b r yː n ə t
skogsbränder|s k ˈɔ ɡ s b r ə n d ə r
skogsdungar|s k ˈɔ ɡ s d ɵ ŋ ˌa r
skogsdungarna|s k ˈɔ ɡ s d ɵ ŋ ˌa r n a
skogsfastighet|s k ˈɔ ɡ s f a s t ˌɪ ɡ h eː t
skogsfonderna|s k ɔ ɡ s f ˈoː n d ə r n ˌa
skogsförstöring|s k ɔ ɡ s f ˈœ ʂ t øː r ˌɪ ŋ
skogsförvaltning|s k ɔ ɡ s f ˈœ r v a l t n ˌɪ ŋ
skogsgallring|s k ˈɔ ɡ s ɡ a l r ˌɪ ŋ
skogsgläntan|s k ˈɔ ɡ s ɡ l ə n t ˌa n
skogsharet|s k ˈɔ ɡ s h a r ə t
skogsindustri|s k ˈɔ ɡ s ɪ n d ˌɵ s t r iː
skogsindustrierna|s k ˈɔ ɡ s ɪ n d ˌɵ s t r iː  ˌɛ r n a
skogsindustriernas|s k ˈɔ ɡ s ɪ n d ˌɵ s t r iː  ˌɛ r n a s
skogsindustrin|s k ˌɔ ɡ s ɪ n d ɵ s t r ˈiː n
skogsindustrins|s k ˈɔ ɡ s ɪ n d ˌɵ s t r ɪ n s
skogsindustrin”|s k ˌɔ ɡ s ɪ n d ɵ s t r ˈiː n
skogslandskap|s k ˈɔ ɡ s l a n d s k ˌɑː p
skogslän|s k ˈɔ ɡ s l ɛː n
skogslänen|s k ˈɔ ɡ s l ɛː n ə n
skogslänet|s k ˈɔ ɡ s l ɛː n ə t
skogsmark|s k ˈɔ ɡ s m a r k
skogsmarken|s k ˈɔ ɡ s m a r k ə n
skogsmaskinen|s k ˌɔ ɡ s m a sx ˈiː n ə n
skogsmaskiner|s k ˌɔ ɡ s m a sx ˈiː n ə r
skogsmaskinförarna|s k ˈɔ ɡ s m a sx ɪ n f ˌøː r a r n ˌa
skogsmulle|s k ˈɔ ɡ s m ɵ l ə
skogsmässan|s k ˈɔ ɡ s m ə s ˌa n
skogsnationen|s k ˌɔ ɡ s n a sx ˈuː n ə n
skogsnäringen|s k ˈɔ ɡ s n ɛː r ˌɪ ŋ ə n
skogsområde|s k ˈɔ ɡ s ɔ m r ˌoː d ə
skogsområdet|s k ˈɔ ɡ s ɔ m r ˌoː d ə t
skogsplanteringar|s k ˈɔ ɡ s p l a n t ˌeː r ɪ ŋ ˌa r
skogspriser|s k ˈɔ ɡ s p r iː s ə r
skogspromenad|s k ˈɔ ɡ s p r uː m ə n ˌa d
skogssameby|s k ˈɔ ɡ s a m ə b ˌyː
skogssamebyar|s k ˈɔ ɡ s a m ə b ˌyː a r
skogssektorn|s k ˈɔ ɡ s ə k t ˌuː r n
skogsskolan|s k ˈɔ ɡ s k uː l ˌa n
skogsskörden|s k ɔ ɡ s k ˈœ r d ə n
skogsskövlingen|s k ɔ ɡ s k ˈœ v l ɪ ŋ ə n
skogsstyrelsen|s k ˈɔ ɡ s t yː r ˌɛ l s ə n
skogsstyrelsens|s k ˈɔ ɡ s t yː r ˌɛ l s ə n s
skogssällskapet|s k ˈɔ ɡ s ə l s k ˌɑː p ə t
skogssällskapets|s k ˈɔ ɡ s ə l s k ˌɑː p ə t s
skogsterräng|s k ˈɔ ɡ s t ə r ˌɛ ŋ
skogstjänstemän|s k ˈɔ ɡ sx ə n s t ə m ˌɛː n
skogstorpets|s k ˈɔ ɡ s t uː r p ˌɛ t s
skogstyrelen|s k ˈɔ ɡ s t yː r ə l ə n
skogsutredningen|s k ˈɔ ɡ s ʉ t r ˌeː d n ɪ ŋ ə n
skogsvallen|s k ˈɔ ɡ s v a l ə n
skogsvolymen|s k ˈɔ ɡ s v uː l ˌyː m ə n
skogsväg|s k ˈɔ ɡ s v ɛː ɡ
skogsvägar|s k ˈɔ ɡ s v ɛː ɡ ˌa r
skogsvägen|s k ˈɔ ɡ s v ɛː ɡ ə n
skogsägare|s k ˈɔ ɡ s ə j ˌa r ə
skogsägaren|s k ˈɔ ɡ s ə j ˌa r ə n
skogsägarna|s k ˈɔ ɡ s ə j ˌa r n a
skogvaktaren|s k ˈɔ ɡ v a k t ˌa r ə n
skogås|s k ˈuː ɡ oː s
skojade|s k ˈuː j a d ə
skojar|s k ˈuː j a r
skojiga|s k ˈuː j iː ɡ ˌa
skokrämsburkar|s k ˈuː k r ə m s b ˌɵ r k a r
skol|s k ˈuː l
skola|s k ˈuː l a
skolad|s k ˈuː l a d
skolan|s k ˈuː l a n
skolans|s k uː l ˈa n s
skolansvariga|s k ˈuː l a n s v ˌɑː r iː ɡ ˌa
skolarbete|s k ˈuː l a r b ˌeː t ə
skolarbetet|s k ˈuː l a r b ˌeː t ə t
skolas|s k ˈuː l a s
skolastisk|s k ˈuː l a s t ˌɪ s k
skolattentatet|s k ˈuː l a tː ˌɛ n t a t ə t
skolavgift|s k ˈuː l ɑː v j ˌɪ f t
skolavgiften|s k ˈuː l ɑː v j ˌɪ f t ə n
skolavslutning|s k ˈuː l ɑː v s l ˌʉ t n ɪ ŋ
skolavslutningar|s k ˈuː l ɑː v s l ˌʉ t n ɪ ŋ ˌa r
skolavslutningarna|s k ˈuː l ɑː v s l ˌʉ t n ɪ ŋ ˌa r n a
skolavslutningen|s k ˈuː l ɑː v s l ˌʉ t n ɪ ŋ ə n
skolavslutningsaktiviteter|s k ˈuː l ɑː v s l ˌʉ t n ɪ ŋ s ˌa k t iː v ˌiː t eː t ə r
skola”|s k ˈuː l a
skolbarn|s k ˈɔ l b ɑː r n
skolbarnen|s k ˈɔ l b ɑː r n ə n
skolbarnens|s k ˈɔ l b ɑː r n ə n s
skolbespisningen|s k ˈɔ l b ə s p ˌɪ s n ɪ ŋ ə n
skolboksexempel|s k ˈɔ l b uː k s ə k s ˌɛ m p ə l
skolbolag|s k ˈɔ l b uː l ˌɑː ɡ
skolbråket|s k ˈɔ l b r oː k ə t
skolbussen|s k ˈɔ l b ɵ s ə n
skolbygge|s k ˈɔ l b y ɡ ə
skolbyggnad|s k ˈɔ l b y ɡ n ˌa d
skolbyggnaden|s k ˈɔ l b y ɡ n ˌa d ə n
skolbyggnader|s k ˈɔ l b y ɡ n ˌa d ə r
skolbänken|s k ˈɔ l b ə ŋ k ə n
skolchef|s k ˈɔ l sx ɛː f
skolchefen|s k ˈɔ l sx ɛː f ə n
skoldag|s k ˈɔ l d ɑː ɡ
skoldagar|s k ˈɔ l d ɑː ɡ ˌa r
skoldagarna|s k ˈɔ l d ɑː ɡ ˌa r n a
skoldagen|s k ˈɔ l d ɑː ɡ ˌɛ n
skoldagens|s k ˈɔ l d ɑː ɡ ˌɛ n s
skoldirektör|s k ˈɔ l d ɪ r ˌɛ k t øː r
skoldistriktet|s k ˈɔ l d ɪ s t r ˌɪ k t ə t
skoldåd|s k ˈɔ l d oː d
skoldådet|s k ˈɔ l d oː d ə t
skolelev|s k ˈuː l ə l ə v
skolelever|s k ˈuː l ə l ˌɛ v ə r
skoleleverna|s k ˈuː l ə l ˌɛ v ə r n ˌa
skolenkäten|s k ˈuː l ə ŋ k ˌɛː t ə n
skolfastigheter|s k ˈɔ l f a s t ˌɪ ɡ h eː t ə r
skolflygplan|s k ˈɔ l f l y ɡ p l ˌa n
skolformer|s k ɔ l f ˈɔ r m ə r
skolfrågan|s k ˈɔ l f r oː ɡ ˌa n
skolföretagens|s k ˈɔ l f øː r ˌeː t ɑː ɡ ə n s
skolgatan|s k ˈɔ l ɡ ɑː t ˌa n
skolgång|s k ˈɔ l ɡ ɔ ŋ
skolgången|s k ˈɔ l ɡ ɔ ŋ ə n
skolgångsbiträde|s k ˈɔ l ɡ ɔ ŋ s b ˌɪ t r ɛː d ə
skolgårdar|s k ˈɔ l ɡ oː r d ˌa r
skolgården|s k ˈɔ l ɡ oː r d ə n
skolhuset|s k ˈɔ l h ʉ s ə t
skolhuvudmän|s k ˈɔ l h ʉ v ˌɵ d m ɛː n
skolidrottsförbund|s k ˌuː l ɪ d r ɔ t s f ˈœ r b ɵ n d
skolinspektionen|s k ˌuː l ɪ n s p ə k sx ˈuː n ə n
skolinspektionens|s k ˌuː l ɪ n s p ə k sx ˈuː n ə n s
skolios|s k ˈuː l iː  ˌuː s
skolkamrat|s k ˈɔ l k a m r ˌɑː t
skolkamraterna|s k ˈɔ l k a m r ˌɑː t ə r n ˌa
skolklass|s k ˈɔ l k l a s
skolklasser|s k ˈɔ l k l a s ə r
skolkoncernen|s k ˈɔ l k ɔ n s ˌeː r n ə n
skolkoncernägare|s k ˈɔ l k ɔ n s ˌeː r n ɛː ɡ ˌa r ə
skolkuratorer|s k ˈɔ l k ʉ r ˌɑː t uː r ə r
skollagen|s k ˈɔ l ɑː ɡ ə n
skollagens|s k ˈɔ l ɑː ɡ ə n s
skolledarnas|s k ˈɔ l eː d ˌa r n a s
skolledning|s k ˈɔ l eː d n ˌɪ ŋ
skolledningen|s k ˈɔ l eː d n ˌɪ ŋ ə n
skollokalerna|s k ˈɔ l ʊ k ˌa l ə r n ˌa
skollovet|s k ɔ l ˈoː v ə t
skollunch|s k ˈɔ l ɵ n ʃ
skollärarn|s k ˈɔ l ɛː r ˌɑː r n
skolmatskommun|s k ˌɔ l m a t s k ɔ m ˈʉ n
skolmiljö|s k ˈɔ l m ɪ l j ˌøː
skolmiljön|s k ˈɔ l m ɪ l j ˌøː n
skolminister|s k ˈɔ l m iː n ˌɪ s t ə r
skolministern|s k ˈɔ l m iː n ˌɪ s t ə r n
skolministerposten|s k ˈɔ l m iː n ˌɪ s t ə r p ˌɔ s t ə n
skolminnen|s k ˈɔ l m ɪ n ə n
skolmyndigheten|s k ˈɔ l m y n d ˌɪ ɡ h eː t ə n
skolmyndigheterna|s k ˈɔ l m y n d ˌɪ ɡ h eː t ˌɛ r n a
skolnätet|s k ˈɔ l n ɛː t ə t
skolområdet|s k ˈuː l ɔ m r ˌoː d ə t
skolor|s k ˈuː l ɔ r
skolorganisation|s k ˌuː l ɔ r ɡ a n ˈɪ s a sx ˈuː n
skolorna|s k ˈuː l ɔ r n ˌa
skolornas|s k ˈuː l ɔ r n ˌa s
skolorna”|s k ˈuː l ɔ r n ˌa
skolpeng|s k ˈɔ l p ə ŋ
skolpengen|s k ˈɔ l p ə ŋ ə n
skolpengsleverantör|s k ˈɔ l p ə ŋ s l ˌɛ v ə r ˌa n t øː r
skolpersonal|s k ˌɔ l p ə ʂ uː n ˈɑː l
skolpersonalen|s k ˈɔ l p ə ʂ ˌuː n a l ə n
skolplanen|s k ˈɔ l p l a n ə n
skolplikten|s k ˈɔ l p l ɪ k t ə n
skolpojke|s k ˈɔ l p ɔ j k ə
skolpolitiken|s k ˈɔ l p uː l ˌiː t iː k ə n
skolpolitikerna|s k ˈɔ l p uː l ˌiː t iː k ˌɛ r n a
skolreform|s k ˌɔ l r ə f ˈɔ r m
skolresor|s k ɔ l r ˈeː s ɔ r
skolresultat|s k ˈɔ l r ə s ˌɵ l t ɑː t
skolresultaten|s k ˈɔ l r ə s ˌɵ l t ɑː t ə n
skolsal|s k ˈɔ l s a l
skolsalarna|s k ˈɔ l s a l ˌa r n a
skolsegregation|s k ˌɔ l s ə ɡ r ə ɡ a sx ˈuː n
skolskjutning|s k ˈɔ l ɕ ʉ t n ˌɪ ŋ
skolskjutningen|s k ˈɔ l ɕ ʉ t n ˌɪ ŋ ə n
skolskjutsar|s k ˈɔ l ɕ ʉ t s ˌa r
skolskjutsuppdraget|s k ˈɔ l ɕ ʉ t s ˌɵ p d r a ɡ ə t
skolsköterskor|s k ˈɔ l sx øː t ˌɛ ʂ k uː r
skolstarten|s k ˈɔ l s t ɑː t ə n
skolstigen|s k ˈɔ l s t iː j ə n
skolstrukturen|s k ˈɔ l s t r ɵ k t ˌʉ r ə n
skolstrukturrapport|s k ˈɔ l s t r ɵ k t ˌɵ r a p ˌɔ t
skolstyrelsens|s k ˈɔ l s t yː r ˌɛ l s ə n s
skolstöd|s k ˈɔ l s t øː d
skolsystem|s k ˈɔ l s y s t ˌeː m
skolsystemet|s k ˈɔ l s y s t ˌeː m ə t
skoltid|s k ˈɔ l t iː d
skoltiden|s k ˈɔ l t iː d ə n
skoltoaletter|s k ˈɔ l t uː ˌa l ə tː ə r
skoltorget|s k ˈɔ l t ɔ r j ə t
skolundervisningen|s k ɔ l ˈɵ n d ə r v ˌiː s n ɪ ŋ ə n
skolungdomar|s k ɔ l ˈɵ ŋ d uː m ˌa r
skoluniform|s k ɔ l ˌɵ n iː f ˈɔ r m
skolutredningen|s k ɔ l ˈʉ t r eː d n ˌɪ ŋ ə n
skolval|s k ˈɔ l v a l
skolvalet|s k ˈɔ l v a l ə t
skolvardag|s k ˈɔ l v ɑː r d ˌɑː ɡ
skolverket|s k ˈɔ l v ə r k ə t
skolverkets|s k ˈɔ l v ə r k ˌɛ t s
skolverksamhet|s k ˈɔ l v ə r k s ˌa m h eː t
skolvärdinna|s k ˈɔ l v ɛː r d ˌɪ n a
skolvärdinnan|s k ˈɔ l v ɛː r d ˌɪ n a n
skolvärlden|s k ɔ l v ˈɛː r d ə n
skolväsende|s k ˈɔ l v ɛː s ˌɛ n d ə
skolväsendet|s k ˈɔ l v ɛː s ˌɛ n d ə t
skolåder|s k ˈuː l oː d ə r
skolålder|s k ˈuː l oː l d ə r
skolåret|s k ˈuː l oː r ə t
skomakarn|s k ˈuː m a k ˌɑː r n
skon|s k ˈuː n
skona|s k ˈuː n a
skonad|s k ˈuː n a d
skonats|s k ˈuː n a t s
skoningslösa|s k ˈoː n ɪ ŋ s l ˌøː s a
skoningslöst|s k ˈoː n ɪ ŋ s l ˈøː s t
skonsamma|s k ˈɔ n s a m ˌa
skonsamt|s k ˈɔ n s a m t
skoog|s k ˈuː uː ɡ
skopa|s k ˈuː p a
skopan|s k ˈuː p a n
skopie|s k ˈɔ p iː  ə
skopje|s k ˈɔ p j ə
skor|s k ˈuː r
skorna|s k ˈuː r n a
skorna”|s k ˈuː r n a
skorped|s k ˈuː r p ə d
skorpion|s k ˌuː r p ɪ  ˈuː n
skorpor|s k ˈuː r p uː r
skorstenshålet|s k ˈɔ ʂ t ə n s h ˌoː l ə t
skot|s k ˈuː t
skoterklubbar|s k ˈuː t ə r k l ˌɵ b a r
skotern|s k ˈuː t ə r n
skoterolycka|s k ˈuː t ə r ˌuː l y kː ˌa
skoterskida|s k ˈuː t ə r sx ˌiː d a
skoterspåret|s k ˈuː t ə ʂ p ˌoː r ə t
skotertrafik|s k ˌuː t ə t r a f ˈiː k
skotrar|s k ˈɔ t r a r
skotska|s k ˈɔ t s k a
skott|s k ˈɔ t
skottade|s k ˈɔ tː a d ə
skottas|s k ˈɔ tː a s
skotten|s k ˈɔ tː ə n
skottes|s k ˈɔ tː ə s
skottet|s k ˈɔ t ə t
skottgluggen|s k ˈɔ t ɡ l ɵ ɡ ə n
skottheim|s k ˈɔ t h ə ˌiː m
skottheims|s k ˈɔ t h ə ˌɪ m s
skotthål|s k ˈɔ t h oː l
skotthålet|s k ˈɔ t h oː l ə t
skotthåll|s k ˈɔ t h ɔ l
skottkärran|s k ˈɔ t k ə r ˌa n
skottkärror|s k ˈɔ t k ə r ˌuː r
skottland|s k ˈɔ t l a n d
skottliknande|s k ˈɔ t l iː k n ˌa n d ə
skottlinjen|s k ˈɔ t l ɪ n j ə n
skottlossning|s k ˈɔ t l ɔ s n ˌɪ ŋ
skottlossningarna|s k ˈɔ t l ɔ s n ˌɪ ŋ a r n ˌa
skottlossningen|s k ˈɔ t l ɔ s n ˌɪ ŋ ə n
skottpeng|s k ˈɔ t p ə ŋ
skottretur|s k ˈɔ t r ə t ˌʉ r
skottsalvorna|s k ˈɔ t s a l v ˌuː r n a
skottskadad|s k ˈɔ t s k ɑː d ˌa d
skottskadade|s k ˈɔ t s k ɑː d ˌa d ə
skottskadades|s k ˈɔ t s k ɑː d ˌa d ə s
skottskadats|s k ˈɔ t s k ɑː d ˌa t s
skottskador|s k ˈɔ t s k a d ˌuː r
skotvinschs|s k ˈɔ t v ɪ n ʃ s
skovelhjul|s k ˈuː v ə l j ˌʉ l
skowelhjul|s k ˈuː v ə l j ˌʉ l
skönt|s k ˈuː n t
skpf|ˌɛ s k ˌoː p ˌeː ˈɛ f
skr|ˌɛ s k ˌoː ˈɛ r
skrala|s k r ˈɑː l a
skralare|s k r ˈɑː l a r ə
skralt|s k r ˈa l t
skramlade|s k r ˈa m l a d ə
skranket|s k r ˈa ŋ k ə t
skrap|s k r ˈɑː p
skrapade|s k r ˈɑː p a d ə
skrapandes|s k r ˈɑː p a n d ə s
skrapat|s k r ˈɑː p a t
skrapsår|s k r ˈa p s oː r
skratt|s k r ˈɑː t
skratta|s k r ˈɑː tː a
skrattade|s k r ˈɑː tː a d ə
skrattande|s k r ˈɑː tː a n d ə
skrattemojis|s k r ˈɑː tː ə m ˌuː j iː s
skratten|s k r ˈɑː tː ə n
skrattet|s k r ˈɑː t ə t
skrattfest|s k r ˈɑː t f ə s t
skrattrynkor|s k r ˈɑː t r y ŋ k ˌuː r
skred|s k r ˈeː d
skredrisker|s k r ˈɛ d r ɪ s k ə r
skrei|s k r ˈeː iː
skrek|s k r ˈeː k
skreks|s k r ˈɛ k s
skrev|s k r ˈeː v
skreva|s k r ˈeː v a
skrevet|s k r ˈeː v ə t
skrevs|s k r ˈɛ v s
skri|s k r ˈiː
skriade|s k r ˈiː  a d ə
skribent|s k r ˈiː b ə n t
skribenten|s k r ˈiː b ə n t ə n
skribentens|s k r ˈiː b ə n t ə n s
skribenter|s k r ˈiː b ə n t ə r
skribenterna|s k r ˈiː b ə n t ˌɛ r n a
skribenternas|s k r ˈiː b ə n t ˌɛ r n a s
skridsko|s k r ˈɪ d s k uː
skridskoarenan|s k r ˈɪ d s k uː ˌa r ə n ˌa n
skridskodisco|s k r ˈɪ d s k oː d ˌɪ s k uː
skridskoexperten|s k r ˈɪ d s k uː ˌɛ k s p ə t ə n
skridskoklubb|s k r ɪ d s k ˈuː k l ɵ b
skridskon|s k r ˈɪ d s k uː n
skridskonation|s k r ˌɪ d s k uː n a sx ˈuː n
skridskoorten|s k r ˈɪ d s k uː ˌuː t ə n
skridskoovalen|s k r ˈɪ d s k uː ˌuː v a l ə n
skridskor|s k r ˈɪ d s k uː r
skridskoskola|s k r ˈɪ d s k ɔ s k ˌuː l a
skridskosporten|s k r ˈɪ d s k ɔ s p ˌɔ t ə n
skridskostjärnan|s k r ˈɪ d s k ɔ sx ˌɛ r n a n
skridskosvensken|s k r ˈɪ d s k ɔ s v ˌɛ n sx ə n
skridskoåkare|s k r ˈɪ d s k uː ˌoː k a r ə
skridskoåkning|s k r ˈɪ d s k uː ˌoː k n ɪ ŋ
skrift|s k r ˈɪ f t
skriften|s k r ˈɪ f t ə n
skrifter|s k r ˈɪ f t ə r
skriftliga|s k r ˈɪ f t l iː ɡ ˌa
skriftligen|s k r ˈɪ f t l ɪ ɡ ˌɛ n
skriftligt|s k r ˈɪ f t l ɪ k t
skrik|s k r ˈiː k
skrika|s k r ˈiː k a
skrikande|s k r ˈiː k a n d ə
skriker|s k r ˈiː k ə r
skrinlades|s k r ˈɪ n l a d ə s
skrinnare|s k r ˈɪ n a r ə
skriv|s k r ˈiː v
skriva|s k r ˈiː v a
skrivande|s k r ˈiː v a n d ə
skrivandet|s k r ˈiː v a n d ə t
skrivarna|s k r ˈiː v ɑː r n ˌa
skrivas|s k r ˈiː v a s
skrivbord|s k r ˈiː v b uː r d
skrivbordet|s k r ˈiː v b uː r d ə t
skrivbordsjobb|s k r ˈiː v b uː r d sx ˌɔ b
skrivbordskanten|s k r ˈiː v b uː r d s k ˌa n t ə n
skrivelse|s k r ˈiː v ə l s ə
skrivelsen|s k r ˈiː v ə l s ə n
skrivelser|s k r ˈiː v ə l s ə r
skriven|s k r ˈiː v ə n
skriver|s k r ˈiː v ə r
skrivet|s k r ˈiː v ə t
skrivhuvud|s k r ˈiː v h ʉ v ˌʉ d
skrivits|s k r ˈiː v ɪ t s
skrivkompisen|s k r ˈiː v k ɔ m p ˌiː s ə n
skrivkurs|s k r ˈiː v k ɵ ʂ
skrivna|s k r ˈiː v n a
skrivningar|s k r ˈiː v n ɪ ŋ ˌa r
skrivs|s k r ˈiː v s
skrivsättet|s k r ˈiː v s ə t ə t
skrivtävlingen|s k r ˈiː v t ə v l ˌɪ ŋ ə n
skrivunderlägg|s k r ˈiː v ɵ n d ˌɛ r l ə ɡ
skrockande|s k r ˈɔ kː a n d ə
skrollar|s k r ˈɔ l a r
skrotades|s k r ˈuː t a d ə s
skrotas|s k r ˈuː t a s
skrotat|s k r ˈuː t a t
skrotats|s k r ˈuː t a t s
skrothandlare|s k r ˈɔ t h a n d l ˌa r ə
skrothög|s k r ˈɔ t h øː ɡ
skrothögen|s k r ˈɔ t h øː ɡ ə n
skrottmyren|s k r ˈɔ t m yː r ə n
skrotupplaget|s k r ˈuː t ɵ p l ˌɑː ɡ ə t
skroven|s k r ˈuː v ə n
skrovet|s k r ˈuː v ə t
skrovlig|s k r ˈɔ v l ɪ ɡ
skrovliga|s k r ˈɔ v l iː ɡ ˌa
skruden|s k r ˈʉ d ə n
skruvad|s k r ˈʉ v a d
skruvade|s k r ˈʉ v a d ə
skruvar|s k r ˈʉ v a r
skruvarna|s k r ˈʉ v ɑː r n ˌa
skruvas|s k r ˈʉ v a s
skruvat|s k r ˈʉ v a t
skruvats|s k r ˈʉ v a t s
skruven|s k r ˈʉ v ə n
skruvlock|s k r ˈɵ v l ɔ k
skrv|ˌɛ s k ˌoː ˌɛ r v ˈeː
skrymslen|s k r ˈy m s l ə n
skrytbyggen|s k r ˈy t b y ɡ ə n
skrytbygget|s k r ˈy t b y ɡ ə t
skryter|s k r ˈyː t ə r
skrytsamma|s k r ˈy t s a m ˌa
skräbböle|s k r ˈɛ b øː l ə
skräck|s k r ˈɛ k
skräckblandad|s k r ˈɛ k b l a n d ˌa d
skräckeffekterna|s k r ˈɛ kː ə f ˌɛ k t ə r n ˌa
skräcken|s k r ˈɛ kː ə n
skräckexempel|s k r ˈɛ kː ə k s ˌɛ m p ə l
skräckfans|s k r ə k f ˈa n s
skräckfantasi|s k r ˈɛ k f a n t ˌa s iː
skräckfilm|s k r ˈɛ k f ɪ l m
skräckfilmen|s k r ˈɛ k f ɪ l m ə n
skräckfilmer|s k r ˈɛ k f ɪ l m ə r
skräckfilmsklubb|s k r ˈɛ k f ɪ l m s k l ˌɵ b
skräckfilmslika|s k r ˈɛ k f ɪ l m s l ˌiː k a
skräckfyllda|s k r ˈɛ k f y l d ˌa
skräckgenren|s k r ˈɛ k j ə n r ə n
skräckincidenten|s k r ˈɛ kː ɪ n s ˌɪ d ə n t ə n
skräckingivande|s k r ˈɛ kː ɪ ŋ ˌiː v a n d ə
skräckis|s k r ˈɛ kː iː s
skräckkabinett|s k r ˈɛ k k a b ˌiː n ə t
skräckserietidning|s k r ˈɛ k s ə r ˌiː  ə t ˌiː d n ɪ ŋ
skräckskadade|s k r ˈɛ k s k ɑː d ˌa d ə
skräckupplevelse|s k r ˈɛ kː ɵ p l ˌɛ v ə l s ə
skräddaren|s k r ˈɛ d a r ə n
skräddarsydd|s k r ˈɛ d a ʂ ˌy d
skräddarsydda|s k r ˈɛ d a ʂ ˌy d a
skräddarsydde|s k r ˈɛ d a ʂ ˌy d ə
skräddarsyr|s k r ˈɛ d a ʂ ˌyː r
skräddarsytt|s k r ˈɛ d a ʂ ˌy t
skräder|s k r ˈɛː d ə r
skrällag|s k r ˈɛ l ɑː ɡ
skrällartad|s k r ˈɛ l a t ˌa d
skrällde|s k r ˈɛ l d ə
skrälle|s k r ˈɛ l ə
skrällopp|s k r ˈɛ l ɔ p
skrällseger|s k r ˈɛ l s ə j ə r
skrällt|s k r ˈɛ l t
