&| ˈe 
universidad|ˌu n i v ˌe ɾ ə s i d ˈa d
universidade|ˌu n i v ˌe ɾ ə s i d ˈa d ɨ
universidades|ˌu n i v ˌe ɾ ə s i d ˈa d ɨ ʃ
university|ˌu n i v ɨ ɾ ə s ˈi t i
universitária|ˌu n i v ˌe ɾ ə s i t ˈa ɾ j ɐ
universitárias|ˌu n i v ˌe ɾ ə s i t ˈa ɾ i  ɐ ʃ
universitário|ˌu n i v ˌe ɾ ə s i t ˈa ɾ j ʊ
universitários|ˌu n i v ˌe ɾ ə s i t ˈa ɾ iʊ ʃ
universitários”|ˌu n i v ˌe ɾ ə s i t ˈa ɾ j ʊ ʃ
universo|ˌu n i v ˈɛ ɾ ə s ʊ
universos|ˌu n i v ˈe ɾ ə s ʊ ʃ
universo”|ˌu n i v ˈɛ ɾ ə s ʊ
união|ˌu n i  ˈɐ̃ʊ̃
unión|ˌu n i  ˈɔ n
uniões|ˌu n i  ˈõ j ʃ
unlimited|ˌũ ŋ l i m i t ˈe d
uno|ˈu n ʊ
unrwa|ˈũ ŋ r w ɐ
unser|ũ ŋ s ˈɛ ɹ
unta|ˈũ ŋ t ɐ
unterstell|ˌũ ŋ t ɨ ɾ ə s t ˈɛ l
unânime|ˌu n ˈɐ̃ n i m ɨ
unânimes|ˌu n ˈɐ̃ n i m ɨ ʃ
unânimos|ˌu n ˈɐ̃ n i m ʊ ʃ
unções|ũ ŋ s ˈõ j ʃ
uníssona|ˌu n ˈi s u n ɐ
uníssono|ˌu n ˈi s u n ʊ
uol|w ˈɔ l
uoshinton|w ˌu ʒ i ŋ t ˈo ŋ
uotch|w ˈo t ʃ
up|ˈɐ p
upa|ˈu p ɐ
upas|ˈu p ɐ ʃ
upa”|ˈu p ɐ
upb|ˈu p b
upbus|u p b ˈu ʃ
updates|ˌu p d ˈa t ɨ ʃ
upload|ɐ p l ˈo u d
uploads|ˌu p l u ˈa d ʃ
upnext|u p n ˈe s t
upp|ˈu p
uppercut|ˌu p ɨ ɾ ə k ˈu t
upps|ˈu p ʃ
ups|ˈu p ʃ
upwork|u p w ˈo ɾ ə k
uralkali|u ɾ ˌɑ l k ɐ l ˈi
urano|ˌu ɾ ˈɐ̃ n ʊ
uranus|ˌu ɾ ɐ̃ n ˈu ʃ
urban|u ɾ ə b ˈɐ̃ ŋ
urbana|ˌu ɾ ə b ˈɐ̃ n ɐ
urbanas|ˌu ɾ ə b ˈɐ̃ n ɐ ʃ
urbana”|ˌu ɾ ə b ˈɐ̃ n ɐ
urbanidade|ˌu ɾ ə b ɐ n i d ˈa d ɨ
urbanismo|ˌu ɾ ə b ɐ n ˈi ʒ m ʊ
urbanistas|ˌu ɾ ə b ɐ n ˈi ʃ t ɐ ʃ
urbanizadas|ˌu ɾ ə b ɐ n i z ˈa d ɐ ʃ
urbanização|ˌu ɾ ə b ɐ n ˌi z ɐ s ˈɐ̃ʊ̃
urbano|ˌu ɾ ə b ˈɐ̃ n ʊ
urbanos|ˌu ɾ ə b ˈɐ̃ n ʊ ʃ
urbanística|ˌu ɾ ə b ɐ n ˈi ʃ t i k ɐ
urbanísticas|ˌu ɾ ə b ɐ n ˈi ʃ t i k ɐ ʃ
urbanístico|ˌu ɾ ə b ɐ n ˈi ʃ t i k ʊ
urbanísticos|ˌu ɾ ə b ɐ n ˈi ʃ t i k ʊ ʃ
urbe|ˈu ɾ ə b ɨ
urca|ˈu ɾ ə k ɐ
urdida|ˌu ɾ ə d ˈi d ɐ
urdido|ˌu ɾ ə d ˈi d ʊ
uretra|ˌu ɾ ˈɛ t ɹ ɐ
urey|u ɾ ˈeɪ
urge|ˈu ɾ ə ʒ ɨ
urgente|ˌu ɾ ə ʒ ˈeɪ ŋ t ɨ
urgentemente|ˌu ɾ ə ʒ eɪ ŋ t ɨ m ˈeɪ ŋ t ɨ
urgentes|ˌu ɾ ə ʒ ˈeɪ ŋ t ɨ ʃ
urgente”|ˌu ɾ ə ʒ ˈeɪ ŋ t ɨ
urgentíssimo|ˌu ɾ ə ʒ eɪ ŋ t ˈi s i m ʊ
urgência|ˌu ɾ ə ʒ ˈeɪ ŋ s j ɐ
urgências|ˌu ɾ ə ʒ ˈeɪ ŋ s i  ɐ ʃ
uribe|ˌu ɾ ˈi b ɨ
uribismo|ˌu ɾ i b ˈi ʒ m ʊ
urina|ˌu ɾ ˈi n ɐ
urinado|ˌu ɾ i n ˈa d ʊ
urinam|ˌu ɾ ˈi n ɐ̃ʊ̃
urinária|ˌu ɾ i n ˈa ɾ j ɐ
urinário|ˌu ɾ i n ˈa ɾ j ʊ
uris|u ɾ ˈi ʃ
urnas|ˈu ɾ ə n ɐ ʃ
urologia|ˌu ɾ u l u ʒ ˈi  ɐ
urologista|ˌu ɾ u l u ʒ ˈi ʃ t ɐ
ursas|ˈu ɾ ə s ɐ ʃ
ursinho|ˌu ɾ ə s ˈi ɲ ʊ
urso|ˈu ɾ ə s ʊ
ursos|ˈu ɾ ə s ʊ ʃ
urss|ˈu ɾ ə s
urss”|ˈu ɾ ə s
ursula|ˌu ɾ ə s ˈu l ɐ
uruaçu|ˌu ɾ u ɐ s ˈu
urubici|ˌu ɾ u b i s ˈi
urubu|ˌu ɾ u b ˈu
urubus|ˌu ɾ u b ˈu ʃ
uruguai|ˌu ɾ u ɡ w ˈaɪ
uruguaia|ˌu ɾ u ɡ w ˈaɪ  ɐ
uruguaiana|ˌu ɾ u ɡ w aɪ  ˈɐ̃ n ɐ
uruguaias|ˌu ɾ u ɡ w ˈaɪ  ɐ ʃ
uruguaios|ˌu ɾ u ɡ w ˈaɪ  ʊ ʃ
urumqi|ˌu ɾ ũ m k ˈi
urutaí|ˌu ɾ u t ɐ ˈi
urço|ˈu ɾ ə s ʊ
us|ˈu ʃ
usa|ˈu z ɐ
usaaf|ˌu z ɐ ˈa f
usabilidade|ˌu z ɐ b ˌi l i d ˈa d ɨ
usada|ˌu z ˈa d ɐ
usadas|ˌu z ˈa d ɐ ʃ
usado|ˌu z ˈa d ʊ
usados|ˌu z ˈa d ʊ ʃ
usalta|ˌu z ˈɑ l t ɐ
usam|ˈu z ɐ̃ʊ̃
usamos|ˌu z ˈɐ̃ m ʊ ʃ
usando|ˌu z ˈɐ̃ ŋ d ʊ
usar|u z ˈa ɹ
usaram|ˌu z ˈa ɾ ɐ̃ʊ̃
usarem|ˌu z ˈa ɾ eɪ ŋ
usaremos|ˌu z ɐ ɾ ˈe m ʊ ʃ
usaria|ˌu z ɐ ɾ ˈi  ɐ
usarmos|ˌu z ˈa ɾ ə m ʊ ʃ
usará|ˌu z ɐ ɾ ˈa
usar”|u z ˈa ɹ
usasse|ˌu z ˈa s ɨ
usassem|ˌu z ˈa s eɪ ŋ
usava|ˌu z ˈa v ɐ
usavam|ˌu z ˈa v ɐ̃ʊ̃
usb|ˌu ˌɛ s b ˈe
uscs|ˈu ʃ k ʃ
usdt|ˈu ʒ d t
use|ˈu z ɨ
usei|u z ˈeɪ
usem|ˈu z eɪ ŋ
user|u z ˈɛ ɹ
usf|ˈu ʃ f
usina|ˌu z ˈi n ɐ
usinas|ˌu z ˈi n ɐ ʃ
uska|ˈu ʃ k ɐ
uso|ˈu z ʊ
usos|ˈu z ʊ ʃ
usos”|ˈu z ʊ ʃ
usou|u z ˈo w
usp|ˈu ʃ p
uspi|u ʃ p ˈi
uss|ˈu s
usten|ˈu ʃ t eɪ ŋ
ustinov|ˌu ʃ t i n ˈo v
ustra|ˈu ʃ t ɹ ɐ
usuais|ˌu z u ˈaɪ ʃ
usual|ˌu z u ˈɑ l
usualmente|ˌu z u ˌɑ l m ˈeɪ ŋ t ɨ
usufruem|ˌu z u f ɹ ˈu eɪ ŋ
usufruir|ˌu z u f ɹ u ˈi ɹ
usufruíram|ˌu z u f ɹ u ˈi ɾ ɐ̃ʊ̃
usufruírem|ˌu z u f ɹ u ˈi ɾ eɪ ŋ
usurpador|ˌu z u ɾ ə p ɐ d ˈo ɹ
usurpando|ˌu z u ɾ ə p ˈɐ̃ ŋ d ʊ
usurpar|ˌu z u ɾ ə p ˈa ɹ
usurpação|ˌu z u ɾ ə p ɐ s ˈɐ̃ʊ̃
usuária|ˌu z w ˈa ɾ j ɐ
usuárias|ˌu z w ˈa ɾ i  ɐ ʃ
usuário|ˌu z w ˈa ɾ j ʊ
usuários|ˌu z w ˈa ɾ iʊ ʃ
usuáriosricharlison|ˌu z w ˈa ɾ i  ˌu ʒ ɹ i ʃ ˌɐ ɾ ə l i z u ŋ
usuário”|ˌu z w ˈa ɾ j ʊ
usuário…|ˌu z w ˈa ɾ j ʊ
usyk|u z ˈi k
usá|u z ˈa
usássemos|ˌu z ˈa s ɨ m ʊ ʃ
utenssílios|ˌu t eɪ ŋ s ˈi l iʊ ʃ
utensílios|ˌu t eɪ ŋ s ˈi l iʊ ʃ
utente|ˌu t ˈeɪ ŋ t ɨ
utentes|ˌu t ˈeɪ ŋ t ɨ ʃ
uterinas|ˌu t ɨ ɾ ˈi n ɐ ʃ
uterino|ˌu t ɨ ɾ ˈi n ʊ
uterossacro|ˌu t ɨ ɾ u s ˈa k ɹ ʊ
uteí|ˌu t ɨ ˈi
uti|u t ˈi
utiel|ˌu t i  ˈɛ l
utilidade|ˌu t i l i d ˈa d ɨ
utilitária|ˌu t i l i t ˈa ɾ j ɐ
utilitário|ˌu t i l i t ˈa ɾ j ʊ
utilitários|ˌu t i l i t ˈa ɾ iʊ ʃ
utiliza|ˌu t i l ˈi z ɐ
utilizada|ˌu t i l i z ˈa d ɐ
utilizadas|ˌu t i l i z ˈa d ɐ ʃ
utilizado|ˌu t i l i z ˈa d ʊ
utilizador|ˌu t i l ˌi z ɐ d ˈo ɹ
utilizadores|ˌu t i l ˌi z ɐ d ˈo ɾ ɨ ʃ
utilizados|ˌu t i l i z ˈa d ʊ ʃ
utilizam|ˌu t i l ˈi z ɐ̃ʊ̃
utilizamos|ˌu t i l i z ˈɐ̃ m ʊ ʃ
utilizando|ˌu t i l i z ˈɐ̃ ŋ d ʊ
utilizar|ˌu t i l i z ˈa ɹ
utilizaram|ˌu t i l i z ˈa ɾ ɐ̃ʊ̃
utilizarem|ˌu t i l i z ˈa ɾ eɪ ŋ
utilizará|ˌu t i l ˌi z ɐ ɾ ˈa
utilizarão|ˌu t i l ˌi z ɐ ɾ ˈɐ̃ʊ̃
utilizava|ˌu t i l i z ˈa v ɐ
utilizavam|ˌu t i l i z ˈa v ɐ̃ʊ̃
utilização|ˌu t i l ˌi z ɐ s ˈɐ̃ʊ̃
utilizações|ˌu t i l ˌi z ɐ s ˈõ j ʃ
utilize|ˌu t i l ˈi z ɨ
utilizei|ˌu t i l i z ˈeɪ
utilizem|ˌu t i l ˈi z eɪ ŋ
utilizo|ˌu t i l ˈi z ʊ
utilizou|ˌu t i l i z ˈo w
utilizá|ˌu t i l i z ˈa
utilizável|ˌu t i l i z ˈa v ˌɛ l
utin|u t ˈi n
utinga|ˌu t ˈi ŋ ɡ ɐ
utis|u t ˈi ʃ
utopia|ˌu t u p ˈi  ɐ
utópico|ˌu t ˈɔ p i k ʊ
uva|ˈu v ɐ
uvalde|ˌu v ˈɑ l d ɨ
uvas|ˈu v ɐ ʃ
uvb|ˈu v b
uwe|ˈu w ɨ
ux|ˈu k s
uzbequistão|ˌu ʒ b ɨ k i ʃ t ˈɐ̃ʊ̃
uzel|u z ˈɛ l
uzhhorod|ˌu ʃ u ɾ ˈo d
uzumaki|ˌu z u m ɐ k ˈi
uáchiteipis|w ˈa ʃ i t ˌeɪ p i ʃ
uáááá|w ˈa ˈa ˈa ˈa
uíge|ˌu ˈi ʒ ɨ
uísque|ˌu ˈi ʃ k ɨ
único|ˌu n ˈi k ʊ
u“cinquenta|ˈu   s ˌi ŋ k w ˈeɪ ŋ t ɐ
v|v ˈe
va|v ˈɐ
vaca|v ˈa k ɐ
vacaria|v ˌɐ k ɐ ɾ ˈi  ɐ
vacas|v ˈa k ɐ ʃ
vaccarello|v ˌɐ k ɐ ɾ ˈɛ l ʊ
vacila|v ˌɐ s ˈi l ɐ
vacilante|v ˌɐ s i l ˈɐ̃ ŋ t ɨ
vacilação|v ˌɐ s i l ɐ s ˈɐ̃ʊ̃
vacilou|v ˌɐ s i l ˈo w
vacina|v ˌɐ s ˈi n ɐ
vacinada|v ˌɐ s i n ˈa d ɐ
vacinadas|v ˌɐ s i n ˈa d ɐ ʃ
vacinado|v ˌɐ s i n ˈa d ʊ
vacinadores|v ˌɐ s i n ɐ d ˈo ɾ ɨ ʃ
vacinados|v ˌɐ s i n ˈa d ʊ ʃ
vacinais|v ˌɐ s i n ˈaɪ ʃ
vacinal|v ˌɐ s i n ˈɑ l
vacinamos|v ˌɐ s i n ˈɐ̃ m ʊ ʃ
vacinando|v ˌɐ s i n ˈɐ̃ ŋ d ʊ
vacinar|v ˌɐ s i n ˈa ɹ
vacinaram|v ˌɐ s i n ˈa ɾ ɐ̃ʊ̃
vacinarem|v ˌɐ s i n ˈa ɾ eɪ ŋ
vacinas|v ˌɐ s ˈi n ɐ ʃ
vacinas”|v ˌɐ s ˈi n ɐ ʃ
vacinação|v ˌɐ s i n ɐ s ˈɐ̃ʊ̃
vacinação”|v ˌɐ s i n ɐ s ˈɐ̃ʊ̃
vacina’|v ˌɐ s ˈi n ɐ
vacina”|v ˌɐ s ˈi n ɐ
vacine|v ˌɐ s ˈi n ɨ
vacinou|v ˌɐ s i n ˈo w
vacinômetro|v ˌɐ s i n ˈo m ɨ t ɹ ʊ
vadeia|v ˌɐ d ˈeɪ  ɐ
vadim|v ɐ d ˈi ŋ
vaga|v ˈa ɡ ɐ
vagabundo|v ˌɐ ɡ ɐ b ˈũ ŋ d ʊ
vagabundos|v ˌɐ ɡ ɐ b ˈũ ŋ d ʊ ʃ
vagamente|v ˌɐ ɡ ɐ m ˈeɪ ŋ t ɨ
vagando|v ˌɐ ɡ ˈɐ̃ ŋ d ʊ
vagano|v ˌɐ ɡ ˈɐ̃ n ʊ
vagar|v ɐ ɡ ˈa ɹ
vagarem|v ˌɐ ɡ ˈa ɾ eɪ ŋ
vagaroso|v ˌɐ ɡ ɐ ɾ ˈo z ʊ
vagarosos|v ˌɐ ɡ ɐ ɾ ˈo z ʊ ʃ
vagas|v ˈa ɡ ɐ ʃ
vagassem|v ˌɐ ɡ ˈa s eɪ ŋ
vagas”|v ˈa ɡ ɐ ʃ
vagavam|v ˌɐ ɡ ˈa v ɐ̃ʊ̃
vaga”|v ˈa ɡ ɐ
vagina|v ˌɐ ʒ ˈi n ɐ
vaginais|v ˌɐ ʒ i n ˈaɪ ʃ
vaginal|v ˌɐ ʒ i n ˈɑ l
vaginismo|v ˌɐ ʒ i n ˈi ʒ m ʊ
vagner|v ɐ ɡ n ˈe ɹ
vago|v ˈa ɡ ʊ
vagos|v ˈa ɡ ʊ ʃ
vagueia|v ˌɐ ɡ ˈeɪ  ɐ
vaguense|v ˌɐ ɡ ˈeɪ ŋ s ɨ
vagão|v ɐ ɡ ˈɐ̃ʊ̃
vagões|v ɐ ɡ ˈõ j ʃ
vahekeni|v ˌɐ ɨ k ɨ n ˈi
vai|v ˈaɪ
vaiado|v ˌaɪ  ˈa d ʊ
vaiar|v aɪ  ˈa ɹ
vaias|v ˈaɪ  ɐ ʃ
vaidade|v ˌaɪ d ˈa d ɨ
vaidades|v ˌaɪ d ˈa d ɨ ʃ
vaidosa|v ˌaɪ d ˈɔ z ɐ
vaidosas|v ˌaɪ d ˈo z ɐ ʃ
vail|v ɐ ˈi l
vaintraub|v ˌɐ i ŋ t ɹ ˈaʊ b
vaiou|v aɪ  ˈo w
vais|v ˈaɪ ʃ
val|v ˈɑ l
valadares|v ˌɐ l ɐ d ˈa ɾ ɨ ʃ
valadim|v ˌɐ l ɐ d ˈi ŋ
valadão|v ˌɐ l ɐ d ˈɐ̃ʊ̃
valansi|v ˌɐ l ɐ̃ ŋ s ˈi
valarelli|v ˌɐ l ɐ ɾ ɨ l ˈi
valas|v ˈa l ɐ ʃ
valcroze|v ˌɑ l k ɹ ˈɔ z ɨ
valdeci|v ˌɑ l d ɨ s ˈi
valdecir|v ˌɑ l d ɨ s ˈi ɹ
valdeiza|v ˌɑ l d ˈeɪ z ɐ
valdelina|v ˌɑ l d ɨ l ˈi n ɐ
valdemar|v ˌɑ l d ɨ m ˈa ɹ
valdemir|v ˌɑ l d ɨ m ˈi ɹ
valdemiro|v ˌɑ l d ɨ m ˈi ɾ ʊ
valdez|v ˌɑ l d ˈe ʃ
valdick|v ˌɑ l d ˈi k
valdino|v ˌɑ l d ˈi n ʊ
valdir|v ˌɑ l d ˈi ɹ
valdivia|v ˌɑ l d i v ˈi  ɐ
valdivino|v ˌɑ l d i v ˈi n ʊ
valdo|v ˈɑ l d ʊ
valdomiro|v ˌɑ l d u m ˈi ɾ ʊ
valduce|v ˌɑ l d ˈu s ɨ
valdívia|v ˌɑ l d ˈi v j ɐ
vale|v ˈa l ɨ
valeir|v ˌɐ l ɨ ˈi ɹ
valem|v ˈa l eɪ ŋ
valencia|v ˌɐ l eɪ ŋ s ˈi  ɐ
valenciana|v ˌɐ l eɪ ŋ s i  ˈɐ̃ n ɐ
valencianas|v ˌɐ l eɪ ŋ s i  ˈɐ̃ n ɐ ʃ
valenciano|v ˌɐ l eɪ ŋ s i  ˈɐ̃ n ʊ
valendo|v ˌɐ l ˈeɪ ŋ d ʊ
valente|v ˌɐ l ˈeɪ ŋ t ɨ
valentina|v ˌɐ l eɪ ŋ t ˈi n ɐ
valentonas|v ˌɐ l eɪ ŋ t ˈo n ɐ ʃ
valentín|v ˌɐ l eɪ ŋ t ˈi ŋ
valença|v ˌɐ l ˈeɪ ŋ s ɐ
valer|v ɐ l ˈe ɹ
valera|v ˌɐ l ˈe ɾ ɐ
valeram|v ˌɐ l ˈe ɾ ɐ̃ʊ̃
valeri|v ˌɐ l ɨ ɾ ˈi
valeria|v ˌɐ l ɨ ɾ ˈi  ɐ
valeriano|v ˌɐ l ɨ ɾ i  ˈɐ̃ n ʊ
valerio|v ˌɐ l ɨ ɾ ˈiʊ
valerá|v ˌɐ l ɨ ɾ ˈa
valer”|v ɐ l ˈe ɹ
vales|v ˈa l ɨ ʃ
valesse|v ˌɐ l ˈe s ɨ
valeta|v ˌɐ l ˈe t ɐ
valetec|v ˌɐ l ɨ t ˈe k
valetta|v ˌɐ l ˈe t ɐ
valeu|v ɐ l ˈeʊ
valgarnte|v ˌɑ l ɡ ˈa ɾ ə n t ɨ
valgarten|v ˌɑ l ɡ ˈa ɾ ə t eɪ ŋ
valiam|v ˌɐ l ˈi  ɐ̃ʊ̃
valida|v ˌɐ l ˈi d ɐ
validada|v ˌɐ l i d ˈa d ɐ
validadas|v ˌɐ l i d ˈa d ɐ ʃ
validade|v ˌɐ l i d ˈa d ɨ
validado|v ˌɐ l i d ˈa d ʊ
validados|v ˌɐ l i d ˈa d ʊ ʃ
validando|v ˌɐ l i d ˈɐ̃ ŋ d ʊ
validar|v ˌɐ l i d ˈa ɹ
validarem|v ˌɐ l i d ˈa ɾ eɪ ŋ
validação|v ˌɐ l i d ɐ s ˈɐ̃ʊ̃
valido|v ˌɐ l ˈi d ʊ
validou|v ˌɐ l i d ˈo w
valinhense|v ˌɐ l i ɲ ˈeɪ ŋ s ɨ
valinho|v ˌɐ l ˈi ɲ ʊ
valinhos|v ˌɐ l ˈi ɲ ʊ ʃ
valiosa|v ˌɐ l i  ˈɔ z ɐ
valiosas|v ˌɐ l i  ˈo z ɐ ʃ
valioso|v ˌɐ l i  ˈo z ʊ
valiosos|v ˌɐ l i  ˈo z ʊ ʃ
valiosíssimo|v ˌɐ l i  u z ˈi s i m ʊ
vallarta|v ˌɐ l ˈa ɾ ə t ɐ
valle|v ˈa l ɨ
vallejo|v ˌɐ l ˈe ʒ ʊ
valley|v ɐ l ˈeɪ
vallourec|v ˌɐ l u w ɾ ˈe k
valmar|v ˌɑ l m ˈa ɹ
valmir|v ˌɑ l m ˈi ɹ
valmor|v ˌɑ l m ˈo ɹ
valor|v ɐ l ˈo ɹ
valorado|v ˌɐ l u ɾ ˈa d ʊ
valorant|v ˌɐ l u ɾ ˈɐ̃ ŋ t
valorativo|v ˌɐ l u ɾ ɐ t ˈi v ʊ
valores|v ˌɐ l ˈo ɾ ɨ ʃ
valoriza|v ˌɐ l u ɾ ˈi z ɐ
valorizada|v ˌɐ l u ɾ i z ˈa d ɐ
valorizadas|v ˌɐ l u ɾ i z ˈa d ɐ ʃ
valorizado|v ˌɐ l u ɾ i z ˈa d ʊ
valorizados|v ˌɐ l u ɾ i z ˈa d ʊ ʃ
valorizam|v ˌɐ l u ɾ ˈi z ɐ̃ʊ̃
valorizamos|v ˌɐ l u ɾ i z ˈɐ̃ m ʊ ʃ
valorizando|v ˌɐ l u ɾ i z ˈɐ̃ ŋ d ʊ
valorizar|v ˌɐ l u ɾ i z ˈa ɹ
valorizaram|v ˌɐ l u ɾ i z ˈa ɾ ɐ̃ʊ̃
valorizava|v ˌɐ l u ɾ i z ˈa v ɐ
valorizavam|v ˌɐ l u ɾ i z ˈa v ɐ̃ʊ̃
valorização|v ˌɐ l u ɾ ˌi z ɐ s ˈɐ̃ʊ̃
valorize|v ˌɐ l u ɾ ˈi z ɨ
valorizou|v ˌɐ l u ɾ i z ˈo w
valorizá|v ˌɐ l u ɾ i z ˈa
valor”|v ɐ l ˈo ɹ
valparaíso|v ˌɑ l p ɐ ɾ ɐ ˈi z ʊ
valquiria|v ˌɑ l k i ɾ ˈi  ɐ
valquíria|v ˌɑ l k ˈi ɾ j ɐ
valquírias|v ˌɑ l k ˈi ɾ i  ɐ ʃ
valsa|v ˈɑ l s ɐ
valsante|v ˌɑ l s ˈɐ̃ ŋ t ɨ
valsar|v ˌɑ l s ˈa ɹ
valsava|v ˌɑ l s ˈa v ɐ
valsistas|v ˌɑ l s ˈi ʃ t ɐ ʃ
valtenir|v ˌɑ l t ɨ n ˈi ɹ
valter|v ˈaʊ t e r
valtinho|v ˌɑ l t ˈi ɲ ʊ
valtteri|v ˌɑ l t ɨ ɾ ˈi
valuation|v ˌɐ l u ˈeɪ ʃ ɐ̃ ŋ
valve|v ˈɑ l v ɨ
valverde|v ˌɑ l v ˈe ɾ ə d ɨ
valvulado|v ˌɑ l v u l ˈa d ʊ
valáquios|v ˌɐ l ˈa k i  ʊ ʃ
valéria|v ˌɐ l ˈɛ ɾ j ɐ
valério|v ˌɐ l ˈɛ ɾ j ʊ
valência|v ˌɐ l ˈeɪ ŋ s j ɐ
valências|v ˌɐ l ˈeɪ ŋ s i  ɐ ʃ
vam|v ˈɐ̃ʊ̃
vamba|v ˈɐ̃ m b ɐ
vamo|v ˈɐ̃ m ʊ
vamos|v ˈɐ̃ m ʊ ʃ
vampeta|v ˌɐ̃ m p ˈɛ t ɐ
vampira|v ˌɐ̃ m p ˈi ɾ ɐ
vampire|v ˌɐ̃ m p ˈi ɾ ɨ
vampiro|v ˌɐ̃ m p ˈi ɾ ʊ
vampiros|v ˌɐ̃ m p ˈi ɾ ʊ ʃ
van|v ˈɐ̃ ŋ
vanced|v ɐ̃ ŋ s ˈe d
vanceva|v ˌɐ̃ ŋ s ˈɛ v ɐ
vancouver|v ˌɐ̃ ŋ k u w v ˈe ɹ
vanda|v ˈɐ̃ ŋ d ɐ
vandalismo|v ˌɐ̃ ŋ d ɐ l ˈi ʒ m ʊ
vandalismo”|v ˌɐ̃ ŋ d ɐ l ˈi ʒ m ʊ
vandalizado|v ˌɐ̃ ŋ d ɐ l i z ˈa d ʊ
vandalizam|v ˌɐ̃ ŋ d ɐ l ˈi z ɐ̃ʊ̃
vandalizar|v ˌɐ̃ ŋ d ɐ l i z ˈa ɹ
vande|v ˈɐ̃ ŋ d ɨ
vandelice|v ˌɐ̃ ŋ d ɨ l ˈi s ɨ
vander|v ɐ̃ ŋ d ˈe ɹ
vanderbilt|v ˌɐ̃ ŋ d ɨ ɾ ə b ˈi l t
vanderlan|v ˌɐ̃ ŋ d ɨ ɾ ə l ˈɐ̃ ŋ
vanderlei|v ˌɐ̃ ŋ d ɨ ɾ ə l ˈeɪ
vanderson|v ˌɐ̃ ŋ d ˈe ɾ ə s u ŋ
vandico|v ˌɐ̃ ŋ d ˈi k ʊ
vando|v ˈɐ̃ ŋ d ʊ
vandré|v ɐ̃ ŋ d ɹ ˈɛ
vaneira|v ɐ n ˈeɪ ɾ ɐ
vanelli|v ɐ n ɨ l ˈi
vanessa|v ɐ n ˈe s ɐ
vangelis|v ˌɐ̃ ŋ ʒ ɨ l ˈi ʃ
vangloria|v ˌɐ̃ ŋ ɡ l u ɾ ˈi  ɐ
vangloriam|v ˌɐ̃ ŋ ɡ l u ɾ ˈi  ɐ̃ʊ̃
vangloriar|v ˌɐ̃ ŋ ɡ l u ɾ i  ˈa ɹ
vanguarda|v ˌɐ̃ ŋ ɡ w ˈa ɾ ə d ɐ
vanhaltem|v ˌɐ̃ ɲ ˈɑ l t eɪ ŋ
vanhautem|v ˌɐ̃ ɲ ˈaʊ t eɪ ŋ
vanhauten|v ˌɐ̃ ɲ ˈaʊ t eɪ ŋ
vanilda|v ɐ n ˈi l d ɐ
vanilse|v ɐ n ˈi l s ɨ
vanise|v ɐ n ˈi z ɨ
vanrautem|v ˌɐ̃ ŋ ʁ ˈaʊ t eɪ ŋ
vanrauter|v ˌɐ̃ ŋ ʁ aʊ t ˈe ɹ
vans|v ˈɐ̃ ŋ ʃ
vantagem|v ˌɐ̃ ŋ t ˈa ʒ eɪ ŋ
vantagem”|v ˌɐ̃ ŋ t ˈa ʒ eɪ ŋ
vantagens|v ˌɐ̃ ŋ t ˈa ʒ eɪ ŋ ʃ
vantajosa|v ˌɐ̃ ŋ t ɐ ʒ ˈɔ z ɐ
vantajosamente|v ˌɐ̃ ŋ t ɐ ʒ ˌu z ɐ m ˈeɪ ŋ t ɨ
vantajosas|v ˌɐ̃ ŋ t ɐ ʒ ˈo z ɐ ʃ
vantajoso|v ˌɐ̃ ŋ t ɐ ʒ ˈo z ʊ
vanuatu|v ɐ n ˌu ɐ t ˈu
vanuza|v ɐ n ˈu z ɐ
vape|v ˈa p ɨ
vapes|v ˈa p ɨ ʃ
vapor|v ɐ p ˈo ɹ
vaporizadores|v ˌɐ p u ɾ ˌi z ɐ d ˈo ɾ ɨ ʃ
vaporização|v ˌɐ p u ɾ ˌi z ɐ s ˈɐ̃ʊ̃
vaporosas|v ˌɐ p u ɾ ˈo z ɐ ʃ
vaporoso|v ˌɐ p u ɾ ˈo z ʊ
vapt|v ˈa p t
vaquinha|v ˌɐ k ˈi ɲ ɐ
var|v ˈa ɹ
varal|v ɐ ɾ ˈɑ l
varanda|v ˌɐ ɾ ˈɐ̃ ŋ d ɐ
varandas|v ˌɐ ɾ ˈɐ̃ ŋ d ɐ ʃ
varandinha|v ˌɐ ɾ ɐ̃ ŋ d ˈi ɲ ɐ
varangianos|v ˌɐ ɾ ɐ̃ ŋ ʒ i  ˈɐ̃ n ʊ ʃ
varas|v ˈa ɾ ɐ ʃ
vara”|v ˈa ɾ ɐ
varegue|v ˌɐ ɾ ˈɛ ɡ ɨ
varejistas|v ˌɐ ɾ ɨ ʒ ˈi ʃ t ɐ ʃ
varejo|v ˌɐ ɾ ˈe ʒ ʊ
varejão|v ˌɐ ɾ ɨ ʒ ˈɐ̃ʊ̃
varela|v ˌɐ ɾ ˈɛ l ɐ
vargas|v ˈa ɾ ə ɡ ɐ ʃ
vargem|v ˈa ɾ ə ʒ eɪ ŋ
varginha|v ˌɐ ɾ ə ʒ ˈi ɲ ɐ
varia|v ˌɐ ɾ ˈi  ɐ
variabilidade|v ˌɐ ɾ i  ˌɐ b i l i d ˈa d ɨ
