$|d ˈo l a
unita|u n ˈi t a
unite|u n ˈi t e
united|u n ˈi t e d
unitendee|ˌu n i t e n d ˈe e
unitie|ˌu n i t ˈi e
unitumikie|ˌu n i t ˌu m i k ˈi e
unity|ˈu n i t j
uniue|ˌu n i ˈu e
universal|ˌu n i v ˈe r s a l
universalaffär|ˌu n i v ˌe r s a l ˈa f f a r
universe|ˌu n i v ˈe r s e
universiade|ˌu n i v ˌe r s i ˈa d e
universidad|ˌu n i v e r s ˈi d a d
universidade|ˌu n i v ˌe r s i d ˈa d e
universitet|ˌu n i v e r s ˈi t e t
universiteten|ˌu n i v ˌe r s i t ˈe t e n
universitetet|ˌu n i v ˌe r s i t ˈe t e t
universitetsmänniskan|ˌu n i v ˌe r s i t ˌe t s  m a n n ˈi s k a n
universitetssjukhus|ˌu n i v ˌe r s i t e t s s ɟ ˈu x u s
universitetsvärlden|ˌu n i v ˌe r s i t e t s v ˈa r l d e n
university|ˌu n i v ˈe r s i t j
universum|ˌu n i v ˈe r s u m
uniwie|ˌu n i w ˈi e
unix|ˈu n i k s
unixmaskiner|ˌu n i k s  m a s  k ˈi n e r
unixsystem|u n ˈi k s s j s t e m
unixsäljare|ˌu n i k s s a l ɟ ˈa r e
unixware|ˌu n i k s w ˈa r e
unkuku|u ŋ  k ˈu k u
unleaded|ˌu n l e ˈa d e d
unmik|ˈu n m i k
unnar|ˈu n n a r
unnoticed|ˌu n n o t ˈi k e d
unoaji|ˌu n o ˈa ɟ i
unono|u n ˈo n o
unowe|u n ˈo w e
unpleasant|ˌu n p l e ˈa s a n t
unpopular|ˌu n p o p ˈu l a r
unreleased|ˌu n  r e l e ˈa s e d
unstahili|ˌu n s t a h ˈi l i
untengenezaji|ˌu n t e ŋ ɡ ˌe n e z ˈa ɟ i
unubini|ˌu n u b ˈi n i
unukuzi|ˌu n u k ˈu z i
unum|ˈu n u m
ununbi|u n ˈu n b i
ununheksi|ˌu n u n h ˈe k s i
ununsepti|ˌu n u n s ˈe p t i
ununuzi|ˌu n u n ˈu z i
unururishaji|ˌu n u r ˌu r i ʃ ˈa ɟ i
unusaji|ˌu n u s ˈa ɟ i
unworkable|ˌu n w o r  k ˈa b l e
uny'ago|u ɲ ˈa ɡ o
unyafuzi|ˌu ɲ a f ˈu z i
unyago|u ɲ ˈa ɡ o
unyagoni|ˌu ɲ a ɡ ˈo n i
unyama|u ɲ ˈa m a
unyambwa|u ɲ ˈa m b w a
unyamwezi|ˌu ɲ a m w ˈe z i
unyang'anyi|ˌu ɲ a ŋ ˈa ɲ i
unyanganyi|ˌu ɲ a ŋ ɡ ˈa ɲ i
unyanjoka|ˌu ɲ a ɲ ɟ ˈo k a
unyanyapaa|ˌu ɲ a ɲ a p ˈa a
unyanyasaji|ˌu ɲ a ɲ a s ˈa ɟ i
unyasi|u ɲ ˈa s i
unyenyekevu|ˌu ɲ e ɲ e k ˈe v u
unyenyekevuyeye|ˌu ɲ e ɲ ˌe k e v u j ˈe j e
unyevu|u ɲ ˈe v u
unyevunyevu|ˌu ɲ e v u ɲ ˈe v u
unyoaji|ˌu ɲ o ˈa ɟ i
unyofu|u ɲ ˈo f u
unyofuuendapo|ˌu ɲ o f ˌu u e n d ˈa p o
unyogofu|ˌu ɲ o ɡ ˈo f u
unyogovu|ˌu ɲ o ɡ ˈo v u
unyolewa|ˌu ɲ o l ˈe w a
unyongaji|ˌu ɲ o ŋ ɡ ˈa ɟ i
unyonge|u ɲ ˈo ŋ ɡ e
unyonyaji|ˌu ɲ o ɲ ˈa ɟ i
unyota|u ɲ ˈo t a
unyumbufu|ˌu ɲ u m b ˈu f u
unyunyizaj|ˌu ɲ u ɲ ˈi z a ɟ
unyunyizaji|ˌu ɲ u ɲ i z ˈa ɟ i
unyunyiziaji|ˌu ɲ u ɲ ˌi z i ˈa ɟ i
unyunyuzi|ˌu ɲ u ɲ ˈu z i
unyuzi|u ɲ ˈu z i
unyuzisaji|ˌu ɲ u z i s ˈa ɟ i
unywaji|ˌu ɲ u ˈa ɟ i
uo|ˈu o
uoande|ˌu o ˈa n d e
uoga|u ˈo ɡ a
uogeleaji|ˌu o ɡ ˌe l e ˈa ɟ i
uogope|ˌu o ɡ ˈo p e
uogopi|ˌu o ɡ ˈo p i
uogozi|ˌu o ɡ ˈo z i
uokoaji|ˌu o k o ˈa ɟ i
uoksidishaji|ˌu o k s ˌi d i ʃ ˈa ɟ i
uombaji|ˌu o m b ˈa ɟ i
uonavyo|ˌu o n ˈa v j o
uonaye|ˌu o n ˈa j e
uonayo|ˌu o n ˈa j o
uondoaji|ˌu o n d o ˈa ɟ i
uondoavyo|ˌu o n d o ˈa v j o
uondoke|ˌu o n d ˈo k e
uone|u ˈo n e
uonekane|ˌu o n e k ˈa n e
uongeze|ˌu o ŋ ɡ ˈe z e
uongezekaji|ˌu o ŋ ɡ ˌe z e k ˈa ɟ i
uongezeko|ˌu o ŋ ɡ e z ˈe k o
uongezwe|ˌu o ŋ ɡ ˈe z w e
uongo|u ˈo ŋ ɡ o
uongoza|ˌu o ŋ ɡ ˈo z a
uongozaji|ˌu o ŋ ɡ o z ˈa ɟ i
uongozi|ˌu o ŋ ɡ ˈo z i
uongozini|ˌu o ŋ ɡ o z ˈi n i
uonishaji|ˌu o n i ʃ ˈa ɟ i
uorodheshe|ˌu o r o ð ˈe ʃ e
uoshaji|ˌu o ʃ ˈa ɟ i
uoto|u ˈo t o
uovu|u ˈo v u
uovuhukumu|ˌu o v ˌu h u k ˈu m u
uovuitakuwa|ˌu o v ˌu i t a k ˈu w a
up|ˈu p
upaa|u p ˈa a
upade|u p ˈa d e
upadri|u p ˈa d  r i
upadrisho|ˌu p a d  r ˈi ʃ o
upagani|ˌu p a ɡ ˈa n i
upakaji|ˌu p a k ˈa ɟ i
upakiaji|ˌu p a k i ˈa ɟ i
upakizaji|ˌu p a k i z ˈa ɟ i
upaliliaji|ˌu p a l ˌi l i ˈa ɟ i
upambanaji|ˌu p a m b a n ˈa ɟ i
upambane|ˌu p a m b ˈa n e
upana|u p ˈa n a
upanda|u p ˈa n d a
upandaji|ˌu p a n d ˈa ɟ i
upande|u p ˈa n d e
upandewa|ˌu p a n d ˈe w a
upandikizaji|ˌu p a n d ˌi k i z ˈa ɟ i
upandw|ˈu p a n d w
upanga|u p ˈa ŋ ɡ a
upangaji|ˌu p a ŋ ɡ ˈa ɟ i
upangile|ˌu p a ŋ ɡ ˈi l e
upangiliaji|ˌu p a ŋ ɡ ˌi l i ˈa ɟ i
upanishadi|ˌu p a n i ʃ ˈa d i
upanthei|ˌu p a n θ ˈe i
upanuaji|ˌu p a n u ˈa ɟ i
upanuzi|ˌu p a n ˈu z i
upanuziviungo|ˌu p a n ˌu z i v i ˈu ŋ ɡ o
upanzi|u p ˈa n z i
upapa|u p ˈa p a
upapani|ˌu p a p ˈa n i
upare|u p ˈa r e
upareni|ˌu p a r ˈe n i
upashanaji|ˌu p a ʃ a n ˈa ɟ i
upashwe|u p ˈa ʃ w e
upasteurishaji|ˌu p a s t ˌe u r i ʃ ˈa ɟ i
upasuaji|ˌu p a s u ˈa ɟ i
upasukaji|ˌu p a s u k ˈa ɟ i
upatanifu|ˌu p a t a n ˈi f u
upatanisho|ˌu p a t a n ˈi ʃ o
upate|u p ˈa t e
upatikanaji|ˌu p a t ˌi k a n ˈa ɟ i
upatikane|ˌu p a t i k ˈa n e
upato|u p ˈa t o
upe|ˈu p e
upekee|ˌu p e k ˈe e
upekekuzi|ˌu p e k e k ˈu z i
upekuzi|ˌu p e k ˈu z i
upele|u p ˈe l e
upelelezi|ˌu p e l e l ˈe z i
upembezoni|ˌu p e m b e z ˈo n i
upembuzi|ˌu p e m b ˈu z i
upendapo|ˌu p e n d ˈa p o
upendaye|ˌu p e n d ˈa j e
upende|u p ˈe n d e
upendeleo|ˌu p e n d e l ˈe o
upendezwi|ˌu p e n d ˈe z w i
upendo|u p ˈe n d o
upeno|u p ˈe n o
upenyo|u p ˈe ɲ o
upenzi|u p ˈe n z i
upepari|ˌu p e p ˈa r i
upeperushaji|ˌu p e p ˌe r u ʃ ˈa ɟ i
upeperushwao|ˌu p e p ˌe r u ʃ w ˈa o
upepo|u p ˈe p o
upesi|u p ˈe s i
upevukaji|ˌu p e v u k ˈa ɟ i
upewe|u p ˈe w e
upgrade|u p ɡ  r ˈa d e
uphilipino|ˌu p h i l i p ˈi n o
upi|ˈu p i
upietisti|ˌu p i e t ˈi s t i
upigaji|ˌu p i ɡ ˈa ɟ i
upigakinanda|ˌu p i ɡ ˌa k i n ˈa n d a
upiganaji|ˌu p i ɡ a n ˈa ɟ i
upigane|ˌu p i ɡ ˈa n e
upige|u p ˈi ɡ e
upigie|ˌu p i ɡ ˈi e
upigwaji|ˌu p i ɡ w ˈa ɟ i
upili|u p ˈi l i
upilikwa|ˌu p i l ˈi k w a
upiliziaji|ˌu p i l ˌi z i ˈa ɟ i
upimaji|ˌu p i m ˈa ɟ i
upimwa|u p ˈi m w a
upinde|u p ˈi n d e
upindo|u p ˈi n d o
upingaji|ˌu p i ŋ ɡ ˈa ɟ i
upingamizi|ˌu p i ŋ ɡ a m ˈi z i
upingi|u p ˈi ŋ ɡ i
upingufu|ˌu p i ŋ ɡ ˈu f u
upinzani|ˌu p i n z ˈa n i
upishi|u p ˈi ʃ i
upitapo|ˌu p i t ˈa p o
upitie|ˌu p i t ˈi e
upitishaji|ˌu p i t i ʃ ˈa ɟ i
upizani|ˌu p i z ˈa n i
upnade|u p n ˈa d e
upo|ˈu p o
upodozi|ˌu p o d ˈo z i
upoe|u p ˈo e
upofu|u p ˈo f u
upole|u p ˈo l e
upolimishaji|ˌu p o l ˌi m i ʃ ˈa ɟ i
upolisi|ˌu p o l ˈi s i
upolu|u p ˈo l u
uponaji|ˌu p o n ˈa ɟ i
upondaji|ˌu p o n d ˈa ɟ i
uponyaji|ˌu p o ɲ ˈa ɟ i
uporaji|ˌu p o r ˈa ɟ i
uporoto|ˌu p o r ˈo t o
upotevu|ˌu p o t ˈe v u
upotezaji|ˌu p o t e z ˈa ɟ i
upotoe|ˌu p o t ˈo e
upotofu|ˌu p o t ˈo f u
upp|ˈu p p
uppasuaji|ˌu p p a s u ˈa ɟ i
uppblåsbar|u p p b l ˈa s b a r
uppbrotten|u p p b  r ˈo t t e n
uppdelad|u p p d ˈe l a d
uppdelning|u p p d ˈe l n i ŋ ɡ
uppdrag|ˈu p p d  r a ɡ
uppdraget|u p p d  r ˈa ɡ e t
uppe|ˈu p p e
uppehåll|u p p ˈe h a l l
uppehållit|ˌu p p e h ˈa l l i t
uppemot|u p p ˈe m o t
uppenbar|u p p ˈe n b a r
uppenbara|ˌu p p e n b ˈa r a
uppenbarelse|ˌu p p e n b a r ˈe l s e
uppenbarligen|ˌu p p e n b a r l ˈi ɡ e n
uppenbart|u p p ˈe n b a r t
uppercase|ˌu p p e r k ˈa s e
uppfann|ˈu p p f a n n
uppfattar|u p p f ˈa t t a r
uppfattning|u p p f ˈa t t n i ŋ ɡ
uppfattningar|ˌu p p f a t t n ˈi ŋ ɡ a r
uppfattningen|ˌu p p f a t t n ˈi ŋ ɡ e n
uppfinning|u p p f ˈi n n i ŋ ɡ
uppfinningens|ˌu p p f i n n ˈi ŋ ɡ e n s
uppfinningsrikedom|ˌu p p f i n n ˌi ŋ ɡ s  r i k ˈe d o m
uppfordrande|ˌu p p f o r d  r ˈa n d e
uppfostrar|u p p f ˈo s t  r a r
uppfylla|ˈu p p f j l l a
uppfyllelse|u p p f j l l ˈe l s e
uppfälld|ˈu p p f a l l d
uppför|ˈu p p f o r
uppförs|ˈu p p f o r s
uppförsbacke|ˌu p p f o r s b ˈa k k e
uppfört|ˈu p p f o r t
uppgav|ˈu p p ɡ a v
uppgavs|ˈu p p ɡ a v s
uppge|ˈu p p ɡ e
uppgift|ˈu p p ɡ i f t
uppgiften|u p p ɡ ˈi f t e n
uppgifter|u p p ɡ ˈi f t e r
uppgifterna|ˌu p p ɡ i f t ˈe r n a
uppgraderade|ˌu p p ɡ  r a d e r ˈa d e
uppgång|ˈu p p ɡ a ŋ ɡ
uppgörelsen|ˌu p p ɡ o r ˈe l s e n
upphandlas|u p p h ˈa n d l a s
upphandlingen|ˌu p p h a n d l ˈi ŋ ɡ e n
upphaussat|ˌu p p h a ˈu s s a t
upphetsad|u p p h ˈe t s a d
upphetsning|u p p h ˈe t s n i ŋ ɡ
upphov|ˈu p p h o v
upphovsrätten|ˌu p p h o v s  r ˈa t t e n
upphävs|ˈu p p h a v s
upphöjt|ˈu p p h o ɟ t
upphör|ˈu p p h o r
upphörde|u p p h ˈo r d e
uppifrån|u p p ˈi f  r a n
uppknäppt|ˈu p p k n a p p t
uppköp|ˈu p p k o p
uppköpen|u p p  k ˈo p e n
uppköpstrenden|ˌu p p  k o p s t  r ˈe n d e n
upplands|ˈu p p l a n d s
uppleva|u p p l ˈe v a
upplevelser|ˌu p p l e v ˈe l s e r
upplever|u p p l ˈe v e r
upplevs|ˈu p p l e v s
upplevt|ˈu p p l e v t
upplysningstiden|ˌu p p l j s n i ŋ ɡ s t ˈi d e n
upplysningsverksamhet|ˌu p p l j s n i ŋ ɡ s v e r  k s ˈa m h e t
uppläggningsavgift|ˌu p p l a ɡ ɡ n i ŋ ɡ s ˈa v ɡ i f t
uppläst|ˈu p p l a s t
upplösning|u p p l ˈo s n i ŋ ɡ
uppmanar|u p p  m ˈa n a r
uppmanat|u p p  m ˈa n a t
uppmaning|u p p  m ˈa n i ŋ ɡ
uppmuntrande|ˌu p p  m u n t  r ˈa n d e
uppmärksamhet|ˌu p p  m a r  k s ˈa m h e t
uppmärksamheten|ˌu p p  m a r  k s a m h ˈe t e n
uppmärksammades|ˌu p p  m a r  k s a m  m ˈa d e s
uppmärksammas|ˌu p p  m a r  k s ˈa m m a s
uppmärksammat|ˌu p p  m a r  k s ˈa m m a t
uppmärksammats|ˌu p p  m a r  k s ˈa m m a t s
uppnå|ˈu p p n a
uppnåbara|ˌu p p n a b ˈa r a
uppnås|ˈu p p n a s
uppoffra_sig|u p p ˈo f f  r a s ˈi ɡ
upprepa|u p p  r ˈe p a
upprepade|ˌu p p  r e p ˈa d e
upprepades|ˌu p p  r e p ˈa d e s
upprepats|u p p  r ˈe p a t s
uppriktigt|u p p  r ˈi k t i ɡ t
upprorsmöten|ˌu p p  r o r s  m ˈo t e n
upprätthålla|ˌu p p  r a t θ ˈa l l a
upprätthållit|ˌu p p  r a t θ ˈa l l i t
upprörd|ˈu p p  r o r d
upprörda|u p p  r ˈo r d a
upprördhet|u p p  r ˈo r ð e t
upprördheten|ˌu p p  r o r ð ˈe t e n
upprört|ˈu p p  r o r t
uppsala|u p p s ˈa l a
uppseendeväckande|ˌu p p s e ˌe n d e v a k  k ˈa n d e
uppsjö|ˈu p p s ɟ o
uppskatta|u p p s  k ˈa t t a
uppskattar|u p p s  k ˈa t t a r
uppskattning|u p p s  k ˈa t t n i ŋ ɡ
uppskattningen|ˌu p p s  k a t t n ˈi ŋ ɡ e n
uppskjuten|u p p s  k ɟ ˈu t e n
uppskov|ˈu p p s k o v
uppslagsboken|ˌu p p s l a ɡ s b ˈo k e n
uppslutningens|ˌu p p s l u t n ˈi ŋ ɡ e n s
uppsnurrning|u p p s n ˈu r r n i ŋ ɡ
uppstigna|u p p s t ˈi ɡ n a
uppstod|ˈu p p s t o d
uppställda|u p p s t ˈa l l d a
uppståndelse|ˌu p p s t a n d ˈe l s e
uppstår|ˈu p p s t a r
uppstått|ˈu p p s t a t t
uppsyn|ˈu p p s j n
upptagen|u p p t ˈa ɡ e n
upptaget|u p p t ˈa ɡ e t
upptagna|u p p t ˈa ɡ n a
upptaxering|ˌu p p t a k s ˈe r i ŋ ɡ
upptog|ˈu p p t o ɡ
uppträda|u p p t  r ˈa d a
uppträdande|ˌu p p t  r a d ˈa n d e
upptäcker|u p p t ˈa k k e r
upptäcks|ˈu p p t a k k s
upptäckt|ˈu p p t a k k t
upptäckte|u p p t ˈa k k t e
uppväxtmässig|ˌu p p v a k s t  m ˈa s s i ɡ
uppå|ˈu p p a
uppåt|ˈu p p a t
uprofesa|ˌu p  r o f ˈe s a
uprotestanti|ˌu p  r o t e s t ˈa n t i
upscale|u p s k ˈa l e
upumbavu|ˌu p u m b ˈa v u
upumbavumacho|ˌu p u m b ˌa v u m ˈa tʃ o
upumbavumjumbe|ˌu p u m b ˌa v u m ɟ ˈu m b e
upumbavumoyo|ˌu p u m b ˌa v u m ˈo j o
upumbazaji|ˌu p u m b a z ˈa ɟ i
upumuaji|ˌu p u m u ˈa ɟ i
upumuwaji|ˌu p u m u w ˈa ɟ i
upunguaji|ˌu p u ŋ ɡ u ˈa ɟ i
upungufu|ˌu p u ŋ ɡ ˈu f u
upunguzaji|ˌu p u ŋ ɡ u z ˈa ɟ i
upupidae|ˌu p u p i d ˈa e
upuse|u p ˈu s e
upuuzi|ˌu p u ˈu z i
upuzi|u p ˈu z i
upwa|ˈu p w a
upwekeni|ˌu p w e k ˈe n i
upya|ˈu p j a
upyaa|u p j ˈa a
ur|ˈu r
urabi|u r ˈa b i
uradidi|ˌu r a d ˈi d i
uraeginthus|ˌu r a e ɡ ˈi n θ u s
urafik|u r ˈa f i k
urafiki|ˌu r a f ˈi k i
urahisi|ˌu r a h ˈi s i
uraibu|ˌu r a ˈi b u
urais|u r ˈa i s
uraisi|ˌu r a ˈi s i
ural|ˈu r a l
urambazaji|ˌu r a m b a z ˈa ɟ i
urambo|u r ˈa m b o
uran|ˈu r a n
urangini|ˌu r a ŋ ɡ ˈi n i
urani|u r ˈa n i
urano|u r ˈa n o
uranus|u r ˈa n u s
urari|u r ˈa r i
urasimi|ˌu r a s ˈi m i
urasimimpya|ˌu r a s i m ˈi m p j a
urasimu|ˌu r a s ˈi m u
urassa|u r ˈa s s a
uratibishaji|ˌu r a t ˌi b i ʃ ˈa ɟ i
uratibu|ˌu r a t ˈi b u
urazini|ˌu r a z ˈi n i
urbain|u r b ˈa i n
urban|ˈu r b a n
urbana|u r b ˈa n a
urbani|u r b ˈa n i
urbano|u r b ˈa n o
urberget|u r b ˈe r ɡ e t
urbino|u r b ˈi n o
urblåsta|u r b l ˈa s t a
urchins|ˈu r tʃ i n s
urdrucken|u r d  r ˈu k k e n
urdruckna|u r d  r ˈu k k n a
urea|u r ˈe a
ureda|u r ˈe d a
urefu|u r ˈe f u
urejeshwe|ˌu r e ɟ ˈe ʃ w e
urekebishaji|ˌu r e k ˌe b i ʃ ˈa ɟ i
urekebisho|ˌu r e k e b ˈi ʃ o
urembaji|ˌu r e m b ˈa ɟ i
urembe|u r ˈe m b e
urembesho|ˌu r e m b ˈe ʃ o
urembo|u r ˈe m b o
uremia|ˌu r e m ˈi a
ureno|u r ˈe n o
urethra|u r ˈe θ  r a
urgell|ˈu r ɡ e l l
urholkades|ˌu r h o l  k ˈa d e s
uria|u r ˈi a
uriah|u r ˈi a h
uricosurici|ˌu r i k ˌo s u r ˈi k i
uridhifu|ˌu r i ð ˈi f u
uridhikaji|ˌu r i ð i k ˈa ɟ i
urika|u r ˈi k a
urimu|u r ˈi m u
urithi|u r ˈi θ i
url|ˈu r l
uro|ˈu r o
urobani|ˌu r o b ˈa n i
urojo|u r ˈo ɟ o
urojorojo|ˌu r o ɟ o r ˈo ɟ o
uropa|u r ˈo p a
urshanabi|ˌu r ʃ a n ˈa b i
urskog|ˈu r s k o ɡ
ursprungligen|ˌu r s p  r u ŋ ɡ l ˈi ɡ e n
ursula|u r s ˈu l a
ursäkt|ˈu r s a k t
ursäkta|u r s ˈa k t a
ursäkter|u r s ˈa k t e r
uru|ˈu r u
urudi|u r ˈu d i
urudiaji|ˌu r u d i ˈa ɟ i
urudishwe|ˌu r u d ˈi ʃ w e
urudufishaji|ˌu r u d ˌu f i ʃ ˈa ɟ i
uruguay|ˌu r u ɡ ˈu a j
urujuani|ˌu r u ɟ u ˈa n i
uruk|ˈu r u k
uruka|u r ˈu k a
urukaji|ˌu r u k ˈa ɟ i
urumandi|ˌu r u m ˈa n d i
urushaji|ˌu r u ʃ ˈa ɟ i
urusi|u r ˈu s i
urval|ˈu r v a l
urvalsmetoderna|ˌu r v a l s  m ˌe t o d ˈe r n a
us|ˈu s
usa|ˈu s a
usababisho|ˌu s a b a b ˈi ʃ o
usabazi|ˌu s a b ˈa z i
usafi|u s ˈa f i
usafinishaji|ˌu s a f ˌi n i ʃ ˈa ɟ i
usafiri|ˌu s a f ˈi r i
usafirishaji|ˌu s a f ˌi r i ʃ ˈa ɟ i
usafishaji|ˌu s a f i ʃ ˈa ɟ i
usafwa|u s ˈa f w a
usagara|ˌu s a ɡ ˈa r a
usage|u s ˈa ɡ e
usahihi|ˌu s a h ˈi h i
usahili|ˌu s a h ˈi l i
usaidiwe|ˌu s a i d ˈi w e
usaidizi|ˌu s a i d ˈi z i
usaili|ˌu s a ˈi l i
usajili|ˌu s a ɟ ˈi l i
usajiri|ˌu s a ɟ ˈi r i
usakamwaji|ˌu s a k a m w ˈa ɟ i
usakataji|ˌu s a k a t ˈa ɟ i
usakinishaji|ˌu s a k ˌi n i ʃ ˈa ɟ i
usalama|ˌu s a l ˈa m a
usambaa|ˌu s a m b ˈa a
usambaaji|ˌu s a m b a ˈa ɟ i
usambara|ˌu s a m b ˈa r a
usambazaji|ˌu s a m b a z ˈa ɟ i
usambuliaji|ˌu s a m b ˌu l i ˈa ɟ i
usamehevu|ˌu s a m e h ˈe v u
usangi|u s ˈa ŋ ɡ i
usangu|u s ˈa ŋ ɡ u
usanifu|ˌu s a n ˈi f u
usanii|ˌu s a n ˈi i
usanisi|ˌu s a n ˈi s i
usanisinuru|ˌu s a n ˌi s i n ˈu r u
usas|ˈu s a s
usasa|u s ˈa s a
usawa|u s ˈa w a
usawazishaji|ˌu s a w ˌa z i ʃ ˈa ɟ i
usawishi|ˌu s a w ˈi ʃ i
usch|ˈu s tʃ
use|ˈu s e
useamao|ˌu s e a m ˈa o
used|ˈu s e d
useja|u s ˈe ɟ a
usemaji|ˌu s e m ˈa ɟ i
usemalo|ˌu s e m ˈa l o
usemao|ˌu s e m ˈa o
usemavyo|ˌu s e m ˈa v j o
usemaye|ˌu s e m ˈa j e
usemi|u s ˈe m i
usemwe|u s ˈe m w e
username|ˌu s e r n ˈa m e
ushabiki|ˌu ʃ a b ˈi k i
ushadidi|ˌu ʃ a d ˈi d i
ushahidi|ˌu ʃ a h ˈi d i
ushaidi|ˌu ʃ a ˈi d i
ushairi|ˌu ʃ a ˈi r i
ushamba|u ʃ ˈa m b a
ushambuliaji|ˌu ʃ a m b ˌu l i ˈa ɟ i
ushambulizi|ˌu ʃ a m b u l ˈi z i
ushanga|u ʃ ˈa ŋ ɡ a
ushangao|ˌu ʃ a ŋ ɡ ˈa o
ushangilie|ˌu ʃ a ŋ ɡ i l ˈi e
ushapanda|ˌu ʃ a p ˈa n d a
ushapavu|ˌu ʃ a p ˈa v u
usharabiwaji|ˌu ʃ a r ˌa b i w ˈa ɟ i
ushashi|u ʃ ˈa ʃ i
ushauri|ˌu ʃ a ˈu r i
usher|ˈu ʃ e r
ushetani|ˌu ʃ e t ˈa n i
ushibe|u ʃ ˈi b e
ushikamane|ˌu ʃ i k a m ˈa n e
ushikanishaji|ˌu ʃ i k ˌa n i ʃ ˈa ɟ i
ushinda|u ʃ ˈi n d a
ushindani|ˌu ʃ i n d ˈa n i
ushinde|u ʃ ˈi n d e
ushindi|u ʃ ˈi n d i
ushindikane|ˌu ʃ i n d i k ˈa n e
ushinto|u ʃ ˈi n t o
ushinzwe|u ʃ ˈi n z w e
ushiri|u ʃ ˈi r i
ushirika|ˌu ʃ i r ˈi k a
ushiriki|ˌu ʃ i r ˈi k i
ushirikia|ˌu ʃ i r i k ˈi a
ushirikiaji|ˌu ʃ i r ˌi k i ˈa ɟ i
ushirikiano|ˌu ʃ i r ˌi k i ˈa n o
ushirikina|ˌu ʃ i r i k ˈi n a
ushirioano|ˌu ʃ i r ˌi o ˈa n o
ushoga|u ʃ ˈo ɡ a
ushuhuda|ˌu ʃ u h ˈu d a
ushujaa|ˌu ʃ u ɟ ˈa a
ushukavyo|ˌu ʃ u k ˈa v j o
ushuke|u ʃ ˈu k e
ushungi|u ʃ ˈu ŋ ɡ i
ushupavu|ˌu ʃ u p ˈa v u
ushuru|u ʃ ˈu r u
usi|ˈu s i
usiache|ˌu s i ˈa tʃ e
usiadizi|ˌu s i a d ˈi z i
usiambie|ˌu s i a m b ˈi e
usiamini|ˌu s i a m ˈi n i
usiangusha|ˌu s i a ŋ ɡ ˈu ʃ a
usibete|ˌu s i b ˈe t e
usibishane|ˌu s i b i ʃ ˈa n e
usichague|ˌu s i tʃ a ɡ ˈu e
usichelewe|ˌu s i tʃ e l ˈe w e
usichezee|ˌu s i tʃ e z ˈe e
usichimbe|ˌu s i tʃ ˈi m b e
usichopanda|ˌu s i tʃ o p ˈa n d a
usichotaka|ˌu s i tʃ o t ˈa k a
usichoweka|ˌu s i tʃ o w ˈe k a
usidanganye|ˌu s i d a ŋ ɡ ˈa ɲ e
usidharau|ˌu s i ð a r ˈa u
usiende|ˌu s i ˈe n d e
usiendelee|ˌu s i ˌe n d e l ˈe e
usienee|ˌu s i e n ˈe e
usifadhaike|ˌu s i f ˌa ð a ˈi k e
usifanye|ˌu s i f ˈa ɲ e
usifanyike|ˌu s i f a ɲ ˈi k e
usifanywe|ˌu s i f ˈa ɲ u e
usife|u s ˈi f e
usifikirie|ˌu s i f ˌi k i r ˈi e
usifurahi|ˌu s i f u r ˈa h i
usifute|ˌu s i f ˈu t e
usigeuke|ˌu s i ɡ e ˈu k e
usihalifu|ˌu s i h a l ˈi f u
usiiache|ˌu s i i ˈa tʃ e
usiibe|ˌu s i ˈi b e
usiichague|ˌu s i ˌi tʃ a ɡ ˈu e
usiifunue|ˌu s i ˌi f u n ˈu e
usiiharibu|ˌu s i ˌi h a r ˈi b u
usiikaze|ˌu s i i k ˈa z e
usiingie|ˌu s i i ŋ ɡ ˈi e
usiiondoe|ˌu s i ˌi o n d ˈo e
usiisahau|ˌu s i ˌi s a h ˈa u
usiitazame|ˌu s i ˌi t a z ˈa m e
usiiuze|ˌu s i i ˈu z e
usijali|ˌu s i ɟ ˈa l i
usijaribu|ˌu s i ɟ a r ˈi b u
usije|u s ˈi ɟ e
usijifiche|ˌu s i ɟ i f ˈi tʃ e
usijikazie|ˌu s i ɟ ˌi k a z ˈi e
usijilipize|ˌu s i ɟ ˌi l i p ˈi z e
usijinyime|ˌu s i ɟ i ɲ ˈi m e
usijiongezee|ˌu s i ɟ ˌi o ŋ ɡ e z ˈe e
usijishughulishe|ˌu s i ɟ ˌi ʃ u ɣ u l ˈi ʃ e
usijisifu|ˌu s i ɟ i s ˈi f u
usijisumbue|ˌu s i ɟ ˌi s u m b ˈu e
usijitaabishe|ˌu s i ɟ ˌi t a a b ˈi ʃ e
usijitukuze|ˌu s i ɟ ˌi t u k ˈu z e
usijiudhi|ˌu s i ɟ i ˈu ð i
usijivune|ˌu s i ɟ i v ˈu n e
usijue|ˌu s i ɟ ˈu e
usikae|ˌu s i k ˈa e
usikasirike|ˌu s i k ˌa s i r ˈi k e
usikawie|ˌu s i k a w ˈi e
usiketi|ˌu s i k ˈe t i
usikhofu|ˌu s i x ˈo f u
usikiache|ˌu s i k i ˈa tʃ e
usikiaji|ˌu s i k i ˈa ɟ i
usikie|ˌu s i k ˈi e
usikiharibu|ˌu s i k ˌi h a r ˈi b u
usikivu|ˌu s i k ˈi v u
usiku|u s ˈi k u
usikubali|ˌu s i k u b ˈa l i
usikule|ˌu s i k ˈu l e
usikumlinzi|ˌu s i k u m l ˈi n z i
